id,section,reference,title,depth,body
,,37,Chapter 37 Branch Circuit and Feeder Requirements,0,"ICC user notes:About this chapter: Chapter 37 addresses the sizing of conductors for feeders and branch circuits, specifies the required branch circuits, provides for overcurrent protection of such conductors, specifies limitations for branch circuit loading, and addresses panel board ratings and protection. Design and installation processes move directly from the service to feeders and branch circuits."
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701,Section E3701 General,1,
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.1,E3701.1 Scope,2,"This chapter covers branch circuits and feeders and specifies the minimum required branch circuits, the allowable loads and the required overcurrent protection for branch circuits and feeders that serve less than 100 percent of the total dwelling unit load. Feeder circuits that serve 100 percent of the dwelling unit load shall be sized in accordance with the procedures in Chapter 36. [310.12(B)]"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.2,E3701.2 Branch-Circuit and Feeder Ampacity,2,"Branch-circuit and feeder conductors shall have ampacities not less than the maximum load to be served. Where a branch circuit or a feeder supplies continuous loads or any combination of continuous and noncontinuous loads, the minimum branch-circuit or feeder conductor size shall not be less the larger of Section E3701.2.1 or E3701.2.2 and shall comply with Section E3705.4."
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.2.1,E3701.2.1 Continuous Load,3,"Where a branch circuit or feeder supplies continuous loads or any combination of continuous and noncontinuous loads, the minimum branch-circuit or feeder conductor size shall have an ampacity not less than the noncontinuous load plus 125 percent of the continuous load in accordance with Table E3705.1."
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.2.2,E3701.2.2 Ampacity Adjustment or Correction,3,"The minimum branch-circuit or feeder conductor size shall have an ampacity not less than the maximum load to be served after the application of any adjustment or correction factors in accordance with Tables E3705.1, E3705.2 and E3705.3. [210.19(A)(1) and (A)(2) and 215.2(A)(1) and (2)] Exception: The grounded conductors of feeders that are not connected to an overcurrent device shall be permitted to be sized at 100 percent of the continuous and noncontinuous load. [215.1(A)(1) Exception No. 3]"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.3,E3701.3 Selection of Ampacity,2,"Where more than one calculated or tabulated ampacity could apply for a given circuit length, the lowest value shall be used. [310.14(A)(2)]Exception: Where different ampacities apply to portions of a circuit, the higher ampacity shall be permitted to be used where the total portion(s) of the circuit with the lower ampacity does not exceed the lesser of 10 feet (3048 mm) or 10 percent of the total circuit. [310.14(A)(2) Exception]"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.4,E3701.4 Branch Circuits With More Than One Receptacle,2,Conductors of branch circuits supplying more than one receptacle for cord-and-plug-connected portable loads shall have ampacities of not less than the rating of the branch circuit. [210.19(B)]
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.5,E3701.5 Multiwire Branch Circuits,2,"All conductors for multiwire branch circuits shall originate from the equipment containing the branch-circuit overcurrent protective device or protective devices. A multiwire circuit shall be permitted to be considered as multiple circuits. Except where all ungrounded conductors are opened simultaneously by the branch-circuit overcurrent device, multiwire branch circuits shall supply only line-to-neutral loads or only one appliance. [210.4(A) and 210.4(C)]"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.5.1,E3701.5.1 Disconnecting Means,3,Each multiwire branch circuit shall be provided with a means that will simultaneously disconnect all ungrounded conductors at the point where the branch circuit originates. [210.4(B)]
37,Chapter 37 Branch Circuit and Feeder Requirements,E3701.5.2,E3701.5.2 Grouping,3,"The ungrounded and grounded circuit conductors of each multiwire branch circuit shall be grouped by wire markers, cable ties or similar means in at least one location within the panelboard or other point of origination. [200.4(B) and 210.4(D)]Exception: Grouping shall not be required where the circuit conductors enter from a cable or raceway unique to the circuit, thereby making the grouping obvious, or where the conductors pass through a box or conduit body without a loop as described in Section E3905.12.2.1 or without a splice or termination. [200.4(B) Exceptions 1 and 2]"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3702,Section E3702 Branch Circuit Ratings,1,
37,Chapter 37 Branch Circuit and Feeder Requirements,E3702.1,E3702.1 Branch-Circuit Voltage Limitations,2,"The voltage ratings of branch circuits that supply luminaires or receptacles for cord-and-plug-connected loads of up to 1,400 volt-amperes or of less than 1/4 horsepower (0.186 kW) shall be limited to a maximum rating of 120 volts, nominal, between conductors. Branch circuits that supply cord-and-plug-connected or permanently connected utilization equipment and appliances rated over 1,440 volt-amperes or 1/4 horsepower (0.186 kW) and greater shall be rated at 120 volts or 240 volts, nominal. [210.6(A), (B), and (C)]"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3702.2,E3702.2 Branch-Circuit Ampere Rating,2,"Branch circuits shall be rated in accordance with the maximum allowable ampere rating or setting of the overcurrent protection device. The rating for other than individual branch circuits shall be 10, 15, 20, 30, 40 and 50 amperes. Where conductors of higher ampacity are used, the ampere rating or setting of the specified over-current device shall determine the circuit rating. (210.18)"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3702.3,E3702.3 Ten-Ampere Branch Circuits,2,"A 10-ampere branch circuit shall comply with the following: A 10-ampere branch circuit shall be permitted to supply one or more of the following: lighting outlets, dwelling unit exhaust fans on bathroom or laundry room lighting circuits, and a gas fireplace unit supplied by an individual branch circuit.A 10-ampere branch circuit shall not supply receptacle outlets, fixed appliances except as permitted for individual branch circuits, garage door openers and laundry equipment. [210.23(A)(1) and (2)]"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3702.4,E3702.4 Fifteen- And 20-Ampere Branch Circuits,2,"A 15- or 20-ampere branch circuit shall be permitted to supply lighting outlets, lighting units, or other utilization equipment, or any combination of them. The rating of any one cord-and-plug-connected utilization equipment not fastened in place shall not exceed 80 percent of the branch-circuit ampere rating. The total rating of utilization equipment fastened in place, other than luminaires, shall not exceed 50 percent of the branch-circuit ampere rating where lighting units, cord-and-plug-connected utilization equipment not fastened in place, or both, are also supplied. [210.23(B)(1) and (2)]"
37,Chapter 37 Branch Circuit and Feeder Requirements,E3702.5,E3702.5 Thirty-Ampere Branch Circuits,2,A 30-ampere branch circuit shall be permitted to supply fixed utilization equipment. A rating of any one cord-and-plug-connected utilization equipment shall not exceed 80 percent of the branch-circuit ampere rating. [210.23(C)]
37,Chapter 37 Branch Circuit and Feeder Requirements,E3702.6,E3702.6 Branch Circuits Serving Multiple Loads or Outlets,2,"General-purpose branch circuits shall supply lighting outlets, appliances, equipment or receptacle outlets, and combinations of such. Multioutlet branch circuits serving lighting or receptacles shall be limited to a maximum branch-circuit rating of 20 amperes. [210.23(B), (C) and (D)]"
