id,section,title,body
33,,Safeguards During Construction,"User notes: About this chapter: While the balance of the chapters in this code specify how a building is to be designed and constructed in order to be in compliance with the code, Chapter 33 looks to the actual construction process. Parameters are provided for demolition and for protecting adjacent property during demolition and construction. This chapter also addresses the need for a fire watch during nonworking hours for certain buildings once the construction has progressed significantly. Issues such as how to provide egress while the building is growing, the timing of standpipe and sprinkler installation, and protection of pedestrians are addressed. Code development reminder: Code change proposals to sections preceded by the designation [BS] will be considered by the IBC—Structural Code Development Committee during the 2022 (Group B) Code Development Cycle."
3301,Chapter 33 Safeguards During Construction,General,
3301.1,Section 3301 General,Scope,The provisions of this chapter shall govern safety during construction and the protection of adjacent public and private properties.
3301.2,Section 3301 General,Storage and Placement,"Construction equipment and materials shall be stored and placed so as not to endanger the public, the workers or adjoining property for the duration of the construction project."
3301.2.1,Section 3301 General,Structural and Construction Loads,Deleted.
3302,Chapter 33 Safeguards During Construction,Construction Safeguards,This section and all subsections are deleted.
3303,Chapter 33 Safeguards During Construction,Demolition,This section and all subsections are deleted.
3304,Chapter 33 Safeguards During Construction,Site Work,
3304.1,Section 3304 Site Work,Excavation and Fill,"Excavation and fill for buildings and structures shall be constructed or protected so as not to endanger life or property. Stumps and roots shall be removed from the soil to a depth of not less than 12 inches (305 mm) below the surface of the ground in the area to be occupied by the building. Wood forms that have been used in placing concrete, if within the ground or between foundation sills and the ground, shall be removed before a building is occupied or used for any purpose. Before completion, loose or casual wood shall be removed from direct contact with the ground under the building."
3304.1.1,Section 3304 Site Work,Slope Limits,Slopes for permanent fill shall be not steeper than one unit vertical in two units horizontal (50-percent slope). Cut slopes for permanent excavations shall be not steeper than one unit vertical in two units horizontal (50-percent slope). Deviation from the foregoing limitations for cut slopes shall be permitted only upon the presentation of a soil investigation report acceptable to the building official.
3304.1.2,Section 3304 Site Work,Surcharge,Fill or other surcharge loads shall not be placed adjacent to any building or structure unless such building or structure is capable of withstanding the additional loads caused by the fill or surcharge. Existing footings or foundations that can be affected by any excavation shall be underpinned adequately or otherwise protected against settlement and shall be protected against lateral movement.
3304.1.3,Section 3304 Site Work,Footings on Adjacent Slopes,"For footings on adjacent slopes, see Chapter 18."
3304.1.4,Section 3304 Site Work,Fill Supporting Foundations,Fill to be used to support the foundations of any building or structure shall comply with Section 1804.6. Special inspections of compacted fill shall be in accordance with Section 1705.6.
3305,Chapter 33 Safeguards During Construction,Sanitary,This section and all subsections are deleted.
3306,Chapter 33 Safeguards During Construction,Protection of Pedestrians,
3306.1,Section 3306 Protection of Pedestrians,Protection Required,"Pedestrians shall be protected during construction, remodeling and demolition activities as required by this chapter and Table 3306.1. Signs shall be provided to direct pedestrian traffic. TABLE 3306.1 PROTECTION OF PEDESTRIANS HEIGHT OF CONSTRUCTION DISTANCE FROM CONSTRUCTION TO LOT LINE TYPE OF PROTECTION REQUIRED 8 feet or less Less than 5 feet Construction railings 5 feet or more None More than 8 feet Less than 5 feet Barrier and covered walkway 5 feet or more, but not more than one-fourth the height of construction Barrier and covered walkway 5 feet or more, but between one-fourth and one-half the height of construction Barrier 5 feet or more, but exceeding one-half the height of construction None For SI: 1 foot = 304.8 mm."
3306.2,Section 3306 Protection of Pedestrians,Walkways,"A walkway shall be provided for pedestrian travel in front of every construction and demolition site unless the applicable governing authority authorizes the sidewalk to be fenced or closed. A walkway shall be provided for pedestrian travel that leads from a building entrance or exit of an occupied structure to a public way. Walkways shall be of sufficient width to accommodate the pedestrian traffic, but shall be not less than 4 feet (1219 mm) in width. Walkways shall be provided with a durable walking surface. Walkways shall be accessible in accordance with Chapter 11 and shall be designed to support all imposed loads, and the design live load shall be not less than 150 pounds per square foot (psf) (7.2 kN/m2)."
3306.3,Section 3306 Protection of Pedestrians,Directional Barricades,Pedestrian traffic shall be protected by a directional barricade where the walkway extends into the street. The directional barricade shall be of sufficient size and construction to direct vehicular traffic away from the pedestrian path.
3306.4,Section 3306 Protection of Pedestrians,Construction Railings,Construction railings shall be not less than 42 inches (1067 mm) in height and shall be sufficient to direct pedestrians around construction areas.
3306.5,Section 3306 Protection of Pedestrians,Barriers,Barriers shall be not less than 8 feet (2438 mm) in height and shall be placed on the side of the walkway nearest the construction. Barriers shall extend the entire length of the construction site. Openings in such barriers shall be protected by doors that are normally kept closed.
3306.6,Section 3306 Protection of Pedestrians,Barrier Design,Barriers shall be designed to resist loads required in Chapter 16 unless constructed as follows:Barriers shall be provided with 2-inch by 4-inch (51 mm by 102 mm) top and bottom plates.The barrier material shall be boards not less than 3/4-inch (19.1 mm) thick or wood structural panels not less than 1/4-inch (6.4 mm) thick.Wood structural use panels shall be bonded with an adhesive identical to that for exterior wood structural use panels.Wood structural use panels 1/4 inch (6.4 mm) or 5/16 inch (23.8 mm) in thickness shall have studs spaced not more than 2 feet (610 mm) on center.Wood structural use panels 3/8 inch (9.5 mm) or 1/2 inch (12.7 mm) in thickness shall have studs spaced not more than 4 feet (1219 mm) on center provided that a 2-inch by 4-inch (51 mm by 102 mm) stiffener is placed horizontally at mid-height where the stud spacing is greater than 2 feet (610 mm) on center.Wood structural use panels 5/8 inch (15.9 mm) or thicker shall not span over 8 feet (2438 mm).
3306.7,Section 3306 Protection of Pedestrians,Covered Walkways,"Covered walkways shall have a clear height of not less than 8 feet (2438 mm) as measured from the floor surface to the canopy overhead. Adequate lighting shall be provided at all times. Covered walkways shall be designed to support all imposed loads. The design live load shall be not less than 150 psf (7.2 kN/m2) for the entire structure.Exception: Roofs and supporting structures of covered walkways for new, light-frame construction not exceeding two stories above grade plane are permitted to be designed for a live load of 75 psf (3.6kN/m2) or the loads imposed on them, whichever is greater. In lieu of such designs, the roof and supporting structure of a covered walkway are permitted to be constructed as follows:Footings shall be continuous 2-inch by 6-inch (51 mm by 152 mm) members.Posts not less than 4 inches by 6 inches (102 mm by 152 mm) shall be provided on both sides of the roof and spaced not more than 12 feet (3658 mm) on center.Stringers not less than 4 inches by 12 inches (102 mm by 305 mm) shall be placed on edge upon the posts.Joists resting on the stringers shall be not less than 2 inches by 8 inches (51 mm by 203 mm) and shall be spaced not more than 2 feet (610 mm) on center.The deck shall be planks not less than 2 inches (51 mm) thick or wood structural panels with an exterior exposure durability classification not less than 23/32 inch (18.3 mm) thick nailed to the joists.Each post shall be knee braced to joists and stringers by members not less than 2 inches by 4 inches (51 mm by 102 mm); 4 feet (1219 mm) in length.A curb that is not less than 2 inches by 4 inches (51 mm by 102 mm) shall be set on edge along the outside edge of the deck."
3306.8,Section 3306 Protection of Pedestrians,"Repair, Maintenance and Removal","Pedestrian protection required by this chapter shall be maintained in place and kept in good order for the entire length of time pedestrians are subject to being endangered. The owner or the owner's authorized agent, on completion of the construction activity, shall immediately remove walkways, debris and other obstructions and leave such public property in as good a condition as it was before such work was commenced."
3306.9,Section 3306 Protection of Pedestrians,Adjacent to Excavations,"Every excavation on a site located 5 feet (1524 mm) or less from the street lot line shall be enclosed with a barrier not less than 6 feet (1829 mm) in height. Where located more than 5 feet (1524 mm) from the street lot line, a barrier shall be erected where required by the building official. Barriers shall be of adequate strength to resist wind pressure as specified in Chapter 16."
3307,Chapter 33 Safeguards During Construction,Protection of Adjoining Property,
3307.1,Section 3307 Protection of Adjoining Property,Protection Required,"Adjoining public and private property shall be protected from damage during construction, remodeling and demolition work. Protection shall be provided for footings, foundations, party walls, chimneys, skylights and roofs. Provisions shall be made to control water runoff and erosion during construction or demolition activities. The person making or causing an excavation to be made shall provide written notice to the owners of adjoining buildings advising them that the excavation is to be made and that the adjoining buildings should be protected. Said notification shall be delivered not less than 10 days prior to the scheduled starting date of the excavation."
