id,section,title,body
2,,Definitions,"User note:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
201,Chapter 2 Definitions,General,
201.1,Section 201 General,Scope,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
201.2,Section 201 General,Interchangeability,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Terms Defined in Other Codes,"Where terms are not defined in this code and are defined in the other International Codes, such terms shall have the meanings ascribed to them in those codes."
201.4,Section 201 General,Terms Not Defined,"Where terms are not defined through the methods authorized by this chapter, such terms shall have ordinarily accepted meanings such as the context implies."
202,Chapter 2 Definitions,General Definitions,
ADDITION_,Section 202 General Definitions,Addition,"An extension or increase in floor area, number of stories, or height of a building or structure."
alteration_,Section 202 General Definitions,Alteration,Any construction or renovation to an existing structure other than a repair or addition.
approved_,Section 202 General Definitions,Approved,Determined to be in compliance by the authority having jurisdiction in accordance with the rules of the board.
new_area_building_,Section 202 General Definitions,"Area, Building","The area included within surrounding exterior walls, or exterior walls and fire walls, exclusive of vent shafts and courts. Areas of the building not provided with surrounding walls shall be included in the building area if such areas are included within the horizontal projection of the roof or floor above."
new_area_aggregate_building_,Section 202 General Definitions,"Area, Aggregate Building",The sum total of building area included within all stories and occupied roofs of the same building that is not separated from the other building areas with fire walls.
building_,Section 202 General Definitions,Building,"Any structure utilized or intended for supporting or sheltering any occupancy, function, or activity. This includes, but is not limited to, structures built or used for the shelter, occupancy, enclosure or support of persons, animals, or chattels. For the purposes of this code, the term ""building"" is to be construed as followed by the words ""or portion thereof."""
new_building_department_,Section 202 General Definitions,Building Department,"An agency, department or division of the state or of the government of a municipal corporation, township, or county, which has been created and authorized in conformity with law for the purpose of enforcing construction code provisions of the board's rules applicable to structures specified in section 3781.06 of the Revised Code."
new_building_official_,Section 202 General Definitions,Building Official,"The superintendent of the division of industrial compliance of the Ohio department of commerce or the person appointed by the superintendent to enforce this code in that division, or the designated authority charged with the administration and enforcement of this code, approved by the board in accordance with section 103 of this code, in a municipal corporation, township or county having a building department, certified by the board pursuant to section 3781.10 of the Revised Code, or the health commissioner or his authorized representative in health districts, whichever one has jurisdiction."
change_of_occupancy_,Section 202 General Definitions,Change of Occupancy,"A change in the purpose or level of activity within a building that involves a change in application of the requirements of the code. Such a change could be to an entire building or a portion of a building. A change of occupancy includes any change of occupancy classification, any change from one group to another group within an occupancy classification, any change in use within a group for a specific occupancy classification or any change that causes an increase in risk."
new_code_building_,Section 202 General Definitions,"Code, Building",The rules of the board adopted under Ohio Administrative Code 4101:1-1-01 through 4101:1-35-01.
new_code_mechanical_,Section 202 General Definitions,"Code, Mechanical",The rules of the board adopted under Ohio Administrative Code 4101:2-1-01 through 4101:2-15-01.
new_code_plumbing_,Section 202 General Definitions,"Code, Plumbing",The rules of the board adopted under Ohio Administrative Code 4101:3-1-01 through 4101:3-15-01.
change_of_use_,Section 202 General Definitions,Change of Use,"A change in the use of a building or a portion of a building, within the same group classification, for which there is a change in application of the code requirements."
code_official_,Section 202 General Definitions,Code Official,Deleted.
dangerous_,Section 202 General Definitions,Dangerous,"Any building, structure or portion thereof that meets any of the conditions described below shall be deemed dangerous: The building or structure has collapsed, has partially collapsed, has moved off its foundation or lacks the necessary support of the ground. There exists a significant risk of collapse, detachment or dislodgement of any portion, member, appurtenance or ornamentation of the building or structure under permanent, routine or frequent loads; under actual loads already in effect; or under snow, wind, rain, flood, earthquake or other environmental loads when such loads are imminent."
deferred_submittal_,Section 202 General Definitions,Deferred Submittal,Deleted.
disproportionate_earthquake_damage_,Section 202 General Definitions,Disproportionate Earthquake Damage,A condition of earthquake-related damage where both of the following occur: The 0.3-second spectral acceleration at the building site as estimated by the United States Geological Survey for the earthquake in question is less than 40 percent of the mapped acceleration parameter SS. The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 10 percent from its predamage condition.
emergency_escape_and_rescue_opening_,Section 202 General Definitions,Emergency Escape and Rescue Opening,"An operable exterior window, door or other similar device that provides for a means of escape and access for rescue in the event of an emergency."
equipment_or_fixture_,Section 202 General Definitions,Equipment or Fixture,"Any plumbing, heating, electrical, ventilating, air conditioning, refrigerating and fire protection equipment; and elevators, dumbwaiters, escalators, boilers, pressure vessels and other mechanical facilities; or installations that are related to building services. Equipment or fixture shall not include manufacturing, production or process equipment, but shall include connections from building service to process equipment."
existing_building_,Section 202 General Definitions,Existing Building,A building regulated by this code that has been erected and for which a certificate of occupancy has been or can be issued in accordance with section 111.4 of the building code.
existing_structure_,Section 202 General Definitions,Existing Structure,A structure regulated by this code that has been erected and for which a certificate of occupancy has been or can be issued in accordance with section 111.4 of the building code.
exterior_wall_covering_,Section 202 General Definitions,Exterior Wall Covering,"A material or assembly of materials applied on the exterior side of exterior walls for the purpose of providing a weather-resisting barrier, insulation or for aesthetics, including but not limited to, veneers, siding, exterior insulation and finish systems, architectural trim and embellishments, such as cornices, soffits, facias, gutters and leaders."
exterior_wall_envelope_,Section 202 General Definitions,Exterior Wall Envelope,"A system or assembly of exterior wall components, including exterior wall finish materials, that provides protection of the building structural members, including framing and sheathing materials, and conditioned interior space from the detrimental effects of the exterior environment."
facility_,Section 202 General Definitions,Facility,"All or any portion of buildings, structures, site improvements, elements and pedestrian or vehicular routes located on a site."
flood_hazard_area_,Section 202 General Definitions,Flood Hazard Area,"The greater of the following two areas: The area within a flood plain subject to a 1-percent or greater chance of flooding in any year. The area designated as a flood hazard area on a community's flood hazard map, or otherwise legally designated."
historic_building_,Section 202 General Definitions,Historic Building,"Any building or structure that is one or more of the following: Listed, or certified as eligible for listing, by the State Historic Preservation Officer or the Keeper of the National Register of Historic Places, in the National Register of Historic Places. Designated as historic under an applicable state or local law. Certified as a contributing resource within a National Register, state designated or locally designated historic district."
new_maintenance_,Section 202 General Definitions,Maintenance,"Work necessary to assure that equipment, systems, devices and safeguards continue to operate in good working order and in accordance with the approval."
noncombustible_material_,Section 202 General Definitions,Noncombustible Material,"A material that, under the conditions anticipated, will not ignite or burn when subjected to fire or heat. Materials that pass ASTM E136 are considered noncombustible materials."
primary_function_,Section 202 General Definitions,Primary Function,"A primary function is a major activity for which the facility is intended. Areas that contain a primary function include, but are not limited to, the customer services lobby of a bank, the dining area of a cafeteria, the meeting rooms in a conference center, as well as offices and other work areas in which the activities of the public accommodation or other private entity using the facility are carried out. Mechanical rooms, boiler rooms, supply storage rooms, employee lounges or locker rooms, janitorial closets, entrances, corridors and restrooms are not areas containing a primary function."
new_registered_design_professional_,Section 202 General Definitions,Registered Design Professional,"Any architect holding a certificate issued under section 4703.10 of the Revised Code, any landscape architect holding a certificate issued under section 4703.36 of the Revised Code, or any engineer holding a certificate issued under section 4733.14 of the Revised Code."
registered_design_professional_in_responsible_charge_,Section 202 General Definitions,Registered Design Professional in Responsible Charge,Deleted.
rehabilitation_,Section 202 General Definitions,Rehabilitation,"Any work, as described by the categories of work defined herein, undertaken in an existing building."
relocatable_building_,Section 202 General Definitions,Relocatable Building,A partially or completely assembled building constructed and designed to be reused multiple times and transported to different building sites.
repair_,Section 202 General Definitions,Repair,The reconstruction or renewal of any part of an existing building for the purpose of its maintenance or to correct damage.
new_repair_minor_,Section 202 General Definitions,"Repair, Minor","The reconstruction or renewal of any part of an existing building for the purpose of its maintenance when the work has limited impact on access, safety or health. Minor repairs do not include the cutting away of any wall, partition or portions of walls, the removal or cutting of any structural beam or load bearing support, or the removal or change of any required element of accessibility, means of egress, or rearrangement of parts of a structure affecting the egress requirements. Minor repairs do not include addition to, alteration of, replacement or relocation of any standpipe, water supply, sewer, drainage, drain leader, gas, soil, waste, vent or similar piping, electric wiring or mechanical or other work affecting public health or general safety."
reroofing_,Section 202 General Definitions,Reroofing,"The process of recovering or replacing an existing roof covering. See ""Roof recover"" and ""Roof replacement."""
risk_category_,Section 202 General Definitions,Risk Category,"A categorization of buildings and other structures for determination of flood, wind, snow, ice and earthquake loads based on the risk associated with unacceptable performance, as provided in Section 1604.5 of the International Building Code."
roof_coating_,Section 202 General Definitions,Roof Coating,"A fluid-applied adhered coating used for roof maintenance, roof repair or as a component of a roof covering system or roof assembly."
roof_recover_,Section 202 General Definitions,Roof Recover,The process of installing an additional roof covering over a prepared existing roof covering without removing the existing roof covering.
roof_repair_,Section 202 General Definitions,Roof Repair,Reconstruction or renewal of any part of an existing roof for the purpose of correcting damage or restoring the predamage condition.
roof_replacement_,Section 202 General Definitions,Roof Replacement,"The process of removing the existing roof covering, repairing any damaged substrate and installing a new roof covering."
new_safe_,Section 202 General Definitions,Safe,"As applied to a building, means free from danger or hazard to the life, safety, health or welfare of persons occupying or frequenting it, or of the public, and from danger of settlement, movement, disintegration, or collapse, whether such danger arises from the method of materials of its construction or from equipment installed therein, for the purpose of lighting, heating, the transmission or utilization of electric current, or from its location or otherwise."
seismic_forces_,Section 202 General Definitions,Seismic Forces,"The loads, forces and requirements prescribed herein, related to the response of the building to earthquake motions, to be used in the analysis and design of the structure and its components. Seismic forces are considered either full or reduced, as provided in Chapter 3."
new_serious_hazard_,Section 202 General Definitions,Serious Hazard,"A hazard of considerable consequence to safety or health through the design, location, construction, or equipment of a building, or the condition thereof, which hazard has been established through experience to be of certain or probable consequence, or which can be determined to be, or which is obviously such a hazard."
substantial_damage_,Section 202 General Definitions,Substantial Damage,"For the purpose of determining compliance with the flood provisions of this code, damage of any origin sustained by a structure whereby the cost of restoring the structure to its before-damaged condition would equal or exceed 50 percent of the market value of the structure before the damage occurred."
substantial_improvement_,Section 202 General Definitions,Substantial Improvement,"For the purpose of determining compliance with the flood provisions of this code, any repair, alteration, addition or improvement of a building or structure, the cost of which equals or exceeds 50 percent of the market value of the structure, before the improvement or repair is started. If the structure has sustained substantial damage, any repairs are considered substantial improvement regardless of the actual repair work performed. The term does not, however, include either of the following: Any project for improvement of a building required to correct existing health, sanitary or safety code violations identified by the building official and that is the minimum necessary to ensure safe living conditions. Any alteration of a historic structure, provided that the alteration will not preclude the structure's continued designation as a historic structure."
substantial_structural_alteration_,Section 202 General Definitions,Substantial Structural Alteration,"An alteration in which the gravity load-carrying structural elements altered within a 5-year period support more than 30 percent of the total floor and roof area of the building or structure. The areas to be counted toward the 30 percent shall include mezzanines, penthouses, and in-filled courts and shafts tributary to the altered structural elements."
substantial_structural_damage_,Section 202 General Definitions,Substantial Structural Damage,"A condition where any of the following apply: The vertical elements of the lateral force-resisting system have suffered damage such that the lateral load-carrying capacity of any story in any horizontal direction has been reduced by more than 33 percent from its predamage condition. The capacity of any vertical component carrying gravity load, or any group of such components, that has a tributary area more than 30 percent of the total area of the structure's floor(s) and roof(s) has been reduced more than 20 percent from its predamage condition, and the remaining capacity of such affected elements, with respect to all dead and live loads, is less than 75 percent of that required by the building code for new buildings of similar structure, purpose and location. The capacity of any structural component carrying snow load, or any group of such components, that supports more than 30 percent of the roof area of similar construction has been reduced more than 20 percent from its predamage condition, and the remaining capacity with respect to dead, live and snow loads is less than 75 percent of that required by the building code for new buildings of similar structure, purpose and location."
technically_infeasible_,Section 202 General Definitions,Technically Infeasible,"An alteration of a facility that has little likelihood of being accomplished because the existing structural conditions require the removal or alteration of a load-bearing member that is an essential part of the structural frame, or because other existing physical or site constraints prohibit modification or addition of elements, spaces or features which are in full and strict compliance with the minimum requirements for new construction and which are necessary to provide accessibility."
unsafe_,Section 202 General Definitions,Unsafe,"Buildings, structures or equipment that are unsanitary, or that are deficient due to inadequate means of egress facilities, inadequate light and ventilation, or that constitute a fire hazard, or in which the structure or individual structural members meet the definition of ""Dangerous,"" or that are otherwise dangerous to human life or the public welfare, or that involve illegal or improper occupancy or inadequate maintenance shall be deemed unsafe. A vacant structure that is not secured against entry shall be deemed unsafe."
