id,section,title,body
11,,[RE] Energy Efficiency,
N1101,Chapter 11 [RE] Energy Efficiency,General,
N1101.1,Chapter 11 [RE] Energy Efficiency,Scope and Intent,"This chapter regulates the energy efficiency for the design and construction of buildings regulated by this code. This chapter shall regulate the design and construction of buildings for the effective use and conservation of energy over the useful life of each building. This chapter is intended to provide flexibility to permit the use of innovative approaches and techniques to achieve this objective. This chapter is not intended to abridge safety, health or environmental requirements contained in other applicable codes or ordinances."
new_1101.2,Chapter 11 [RE] Energy Efficiency,Compliance,Sections 1101.1 through 1101.12 shall apply to all compliance paths.
new_1101.2.1,Chapter 11 [RE] Energy Efficiency,Compliance Paths,"Compliance shall be demonstrated by meeting the requirements of one of the following options: Sections 1101.14 through 1104 of this chapter, or Section 1105 (the Simulated Performance approach) and the provisions of Sections 1101.14 through 1104 indicated as ""Mandatory,"" or Section 1106 (the Energy Rating Index (ERI) approach) and the provisions of Sections 1101.14 through 1104 indicated as ""Mandatory,"" and Section 1103.5.3, or Section 1112 (""The Ohio Home Builder's Association (OHBA) Alternative Energy Code Option""), or The ""International Energy Conservation Code."""
N1101.3,Chapter 11 [RE] Energy Efficiency,(R101.5.1) Compliance Materials,"The building official shall be permitted to approve specific computer software, worksheets, compliance manuals and other similar materials that meet the intent of this chapter."
N1101.5,Chapter 11 [RE] Energy Efficiency,(R103.2) Information on Construction Documents,"Construction documents shall be drawn to scale on suitable material. Electronic media documents are permitted to be submitted when approved by the building official. Construction documents shall be of sufficient clarity to indicate the location, nature and extent of the work proposed, and show in sufficient detail pertinent data and features of the building, systems and equipment as herein governed. Details shall include the following as applicable:Insulation materials and their R-values.Fenestration U-factors and solar heat gain coefficients (SHGC).Area-weighted U-factor and solar heat gain coefficient (SHGC) calculations.Mechanical system design criteria.Mechanical and service water heating systems and equipment types, sizes and efficiencies.Equipment and system controls.Duct sealing, duct and pipe insulation and location.Air sealing details."
N1101.5.1,Chapter 11 [RE] Energy Efficiency,(R103.2.1) Building Thermal Envelope Depiction,The building thermal envelope shall be represented on the construction documents.
N1101.6,Chapter 11 [RE] Energy Efficiency,(R202) Defined Terms,The following terms are defined in Chapter 2: ABOVE-GRADE WALL. ACCESSIBLE. ADDITION. AIR BARRIER. ALTERATION. AUTOMATIC. BASEMENT WALL. BUILDING. BUILDING SITE. BUILDING THERMAL ENVELOPE. CIRCULATING HOT WATER SYSTEM. CLIMATE ZONE. CONDITIONED FLOOR AREA. CONDITIONED SPACE. CONTINUOUS AIR BARRIER. CONTINUOUS INSULATION (ci). CRAWL SPACE WALL. CURTAIN WALL. DEMAND RECIRCULATION WATER SYSTEM. DUCT. DUCT SYSTEM. DWELLING UNIT. ENERGY ANALYSIS. ENERGY COST. ENERGY SIMULATION TOOL. ERI REFERENCE DESIGN. EXTERIOR WALL. FENESTRATION. Site-built fenestration product.Skylights. Vertical fenestration. HEATED SLAB. HIGH-EFFICACY LAMPS. HISTORIC BUILDING. INFILTRATION. INSULATED SIDING. INSULATING SHEATHING. LABELED. LISTED. LOW-VOLTAGE LIGHTING. MANUAL. OPAQUE DOOR. PROPOSED DESIGN. RATED DESIGN. READILY ACCESSIBLE. REPAIR. REROOFING. RESIDENTIAL BUILDING. ROOF ASSEMBLY. ROOF RECOVER. ROOF REPAIR. ROOF REPLACEMENT. R-VALUE (THERMAL RESISTANCE). SERVICE WATER HEATING. SOLAR HEAT GAIN COEFFICIENT (SHGC). STANDARD REFERENCE DESIGN. SUNROOM. THERMAL ISOLATION. THERMOSTAT. U-FACTOR (THERMAL TRANSMITTANCE). VENTILATION. VENTILATION AIR. VISIBLE TRANSMITTANCE [VT]. WHOLE HOUSE MECHANICAL VENTILATION SYSTEM. ZONE.
N1101.7,Chapter 11 [RE] Energy Efficiency,(R301.1) Climate Zones,"Climate zones from Figure 1101.7 or Table 1101.7 shall be used for determining the applicable requirements in Sections 1101 through 1111. FIGURE 1101.7CLIMATE ZONES TABLE 1101.7CLIMATE ZONES, MOISTURE REGIMES, AND WARM-HUMID DESIGNATIONS BY STATE, COUNTY AND TERRITORY OHIO 4A Adams 4A Hamilton 5A Noble 5A Allen 5A Hancock 5A Ottawa 5A Ashland 5A Hardin 5A Paulding 5A Ashtabula 5A Harrison 5A Perry 5A Athens 5A Henry 5A Pickaway 5A Auglaize 5A Highland 4A Pike 5A Belmont 5A Hocking 5A Portage 4A Brown 5A Holmes 5A Preble 5A Butler 5A Huron 5A Putnam 5A Carroll 5A Jackson 5A Richland 5A Champaign 5A Jefferson 5A Ross 5A Clark 5A Knox 5A Sandusky 4A Clermont 5A Lake 4A Scioto 5A Clinton 4A Lawrence 5A Seneca 5A Columbiana 5A Licking 5A Shelby 5A Coshocton 5A Logan 5A Stark 5A Crawford 5A Lorain 5A Summit 5A Cuyahoga 5A Lucas 5A Trumbull 5A Darke 5A Madison 5A Tuscarawas 5A Defiance 5A Mahoning 5A Union 5A Delaware 5A Marion 5A Van Wert 5A Erie 5A Medina 5A Vinton 5A Fairfield 5A Meigs 5A Warren 5A Fayette 5A Mercer 4A Washington 5A Franklin 5A Miami 5A Wayne 5A Fulton 5A Monroe 5A Williams 4A Gallia 5A Montgomery 5A Wood 5A Geauga 5A Morgan 5A Wyandot 5A Greene 5A Morrow 5A Guernsey 5A Muskingum Key: A — Moist."
