id,section,title,body
19,,"Special Appliances, Equipment and Systems","User notes: About this chapter: Chapter 19 is specific to appliances and systems that are not related to HVAC, including cooking appliances, sauna heaters, fuel cells and hydrogen systems. Chapter 24 also applies to cooking appliances and sauna heaters. Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2018 (Group A) Code Development Cycle. See explanation on page iv."
M1901,"Chapter 19 Special Appliances, Equipment and Systems",Ranges and Ovens,
M1901.1,"Chapter 19 Special Appliances, Equipment and Systems",Clearances,Freestanding or built-in ranges shall have a vertical clearance above the cooking top of not less than 30 inches (762 mm) to unprotected combustible material. Reduced clearances are permitted in accordance with the listing and labeling of the range hoods or ovens with integral exhaust.
M1901.2,"Chapter 19 Special Appliances, Equipment and Systems",Cooking Appliances,Cooking appliances shall be listed and labeled for household use and shall be installed in accordance with the manufacturer's instructions. The installation shall not interfere with combustion air or access for operation and servicing. Electric cooking appliances shall comply with UL 1026 or UL 858. Solid-fuel-fired fireplace stoves shall comply with UL 737. Microwave ovens shall comply with UL 923.
M1902,"Chapter 19 Special Appliances, Equipment and Systems",Sauna Heaters,
M1902.1,"Chapter 19 Special Appliances, Equipment and Systems",Locations and Protection,"Sauna heaters shall be protected from accidental contact by persons with a guard of material having a low thermal conductivity, such as wood. The guard shall not have a substantial effect on the transfer of heat from the heater to the room."
M1902.2,"Chapter 19 Special Appliances, Equipment and Systems",Installation,Sauna heaters shall be installed in accordance with the manufacturer's instructions. Sauna heaters shall comply with UL 875.
M1902.3,"Chapter 19 Special Appliances, Equipment and Systems",Combustion Air,"Combustion air and venting for a nondirect vent-type heater shall be provided in accordance with Chapters 17 and 18, respectively."
M1902.4,"Chapter 19 Special Appliances, Equipment and Systems",Controls,"Sauna heaters shall be equipped with a thermostat that will limit room temperature to not greater than 194°F (90°C). Where the thermostat is not an integral part of the heater, the heat-sensing element shall be located within 6 inches (152 mm) of the ceiling."
M1903,"Chapter 19 Special Appliances, Equipment and Systems",Stationary Fuel Cell Power Plants,
M1903.1,"Chapter 19 Special Appliances, Equipment and Systems",General,"Stationary fuel cell power plants having a power output not exceeding 1,000 kW shall comply with ANSI/CSA America FC 1 and shall be installed in accordance with the manufacturer's instructions and NFPA 853."
M1904,"Chapter 19 Special Appliances, Equipment and Systems",Gaseous Hydrogen Systems,
M1904.1,"Chapter 19 Special Appliances, Equipment and Systems",Installation,"Gaseous hydrogen systems shall be installed in accordance with the applicable requirements of Sections 1307.4 and 1903.1, the ""International Fuel Gas Code"", the fire code and the Ohio Building Code."
new_1905,"Chapter 19 Special Appliances, Equipment and Systems",Engine and Gas-Turbine Powered Equipment and Appliances,
new_1905.1,"Chapter 19 Special Appliances, Equipment and Systems",General,"The installation of stationary internal combustion engines and gas turbines, including exhaust, fuel storage and piping, shall meet the requirements of this section."
new_1905.2,"Chapter 19 Special Appliances, Equipment and Systems",Engine-Driven Equipment and Appliances,Permanently installed equipment and appliances powered by internal combustion engines and turbines shall be installed in accordance with the manufacturer's installation instructions and NFPA 37.
new_1905.2.1,"Chapter 19 Special Appliances, Equipment and Systems",Fuel Tanks Connected to Engine-Driven Building Services Equipment,"Fuel tanks piped to and supplying fuel for engine-driven building service equipment may be engine-mounted, located inside of a building, outside of a building, or on a roof in accordance with NFPA 37 or NFPA 30."
new_1905.2.1.1,"Chapter 19 Special Appliances, Equipment and Systems",Engine-Mounted Tanks,"Engine-mounted tanks located outdoors may be located in accordance with Section 4.1.4 of NFPA 37 and shall be vented in accordance with NFPA 30. Engine-mounted tanks shall be provided with adequate clearance to enable filling, maintenance, and testing, shall be safeguarded against public access, and shall be protected from impact."
new_1905.2.1.2,"Chapter 19 Special Appliances, Equipment and Systems",Other Fuel Tanks,"Fuel tanks, other than engine-mounted tanks, piped to and supplying the engine shall be located, installed, and vented in accordance with the applicable sections of NFPA 37 or located, installed, and vented in accordance with NFPA 30."
new_1905.2.2,"Chapter 19 Special Appliances, Equipment and Systems",Gaseous Fuel Supply,"Where an internal combustion engine supplied with gaseous fuel powers building service equipment, the fuel gas storage and piping system shall comply with NFPA 37 and Chapter 24."
new_1905.3,"Chapter 19 Special Appliances, Equipment and Systems",Engine-Driven Stationary Generators,Stationary emergency and standby power generator assemblies shall be listed in accordance with UL 2200 and shall comply with Section 3402.1.
