id,section,title,body
21,,Hydronic Piping,"User notes: About this chapter: Chapter 21 is specific to hydronic piping, which includes, steam, hot water and ground-source heat-pump system loop piping. This chapter addresses piping materials, joining methods, support, protection of the structure, testing, protection of potable water and general installation requirements. Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2018 (Group A) Code Development Cycle. See explanation on page iv."
M2101,Chapter 21 Hydronic Piping,Hydronic Piping Systems Installation,
M2101.1,Chapter 21 Hydronic Piping,General,"Hydronic piping shall conform to Table 2101.1. Approved piping, valves, fittings and connections shall be installed in accordance with the manufacturer's instructions. Pipe and fittings shall be rated for use at the operating temperature and pressure of the hydronic system. Used pipe, fittings, valves or other materials shall be free of foreign materials. TABLE 2101.1HYDRONIC PIPING AND FITTING MATERIALS MATERIAL USE CODEa STANDARDb JOINTS NOTES Acrylonitrile butadiene styrene (ABS) plastic pipe 1, 5 ASTM D1527 ASTM F2806 ASTM F2969 Solvent cement joints — Chlorinated poly (vinyl chloride) (CPVC) pipe and tubing 1, 2, 3 ASTM D2846 Solvent cement joints, compression joints and threaded adapters — Copper and copper-alloy pipe 1 ASTM B42, B43, B302 Brazed, soldered and mechanical fittings threaded, welded and flanged — Copper and copper-alloy tubing (Type K, L or M) 1, 2 ASME B16.51, ASTM B75, B88, B135, B251, B306 Brazed, soldered, press-connected and flared mechanical fittings Joints embedded in concrete shall be brazed Cross-linked polyethylene (PEX) 1, 2, 3 ASTM F876 (See PEX fittings) Install in accordance with manufacturer's instructions Cross-linked polyethylene/aluminum/cross-linkedpolyethylene (PEX-AL-PEX) pressure pipe 1, 2 ASTM F1281 or CAN/ CSA B137.10 Mechanical, crimp/insert Install in accordance with manufacturer's instructions PEX fittings ASTM F877 ASTM F1807 ASTM F1960 ASTM F2098 ASTM F2159 ASTM F2735 Copper crimp/insert fittings, cold expansion fittings, stainless steel clamp, insertfittings Install in accordance with manufacturer's instructions Polybutylene (PB) pipe and tubing 1, 2, 3 ASTM D3309 Heat-fusion, crimp/insert and compression Joints in concrete shall be heat-fused Polyethylene/aluminum/polyethylene (PE-AL-PE) pressure pipe 1, 2, 3 ASTM F1282 CSA B 137.9 Mechanical, crimp/insert — Polypropylene (PP) 1, 2, 3 ISO 15874 ASTM F2389 Heat-fusion joints, mechanical fittings, threaded adapters, compression joints — Raised temperature polyethylene (PE-RT) 1, 2, 3 ASTM F2623 ASTM F2769, CSA B137.18 Copper crimp/insert fitting, stainless steel clamp, insert fittings — Raised temperature polyethylene (PE-RT) fittings 1, 2,3 ASTM D3261 ASTM F1807 ASTM F2098 ASTM F2159 ASTM F2735 ASTM F2769 CSA B137.18 Copper crimp/insert fitting, stainless steel clamp, insert fittings — Steel pipe 1, 2 ASTM A53 ASTM A106 Brazed, welded, threaded, flanged and mechanical fittings Joints in concrete shall be welded. Galvanized pipe shall not be welded or brazed. Steel tubing 1 ASTM A254 Mechanical fittings, welded — For SI: °C = [(°F)-32]/1.8. Use code: Above ground. Embedded in radiant systems. Temperatures below 180°F only. Low temperature (below 130°F) applications only. Temperatures below 160°F only. Standards as listed in Chapter 44."
M2101.2,Chapter 21 Hydronic Piping,System Drain Down,"Hydronic piping systems shall be installed to permit draining of the system. Where the system drains to the plumbing drainage system, the installation shall conform to the requirements of the plumbing code as modified by Chapter 25. Exception: The buried portions of systems embedded underground or under floors."
M2101.3,Chapter 21 Hydronic Piping,Protection of Potable Water,The potable water system shall be protected from backflow in accordance with the plumbing code as modified by Chapter 25.
M2101.4,Chapter 21 Hydronic Piping,Pipe Penetrations,Openings through concrete or masonry building elements shall be sleeved.
M2101.5,Chapter 21 Hydronic Piping,Contact With Building Material,A hydronic piping system shall not be in direct contact with any building material that causes the piping material to degrade or corrode.
M2101.6,Chapter 21 Hydronic Piping,Drilling and Notching,"Wood-framed structural members shall be drilled, notched or altered in accordance with the provisions of Sections 502.8, 602.6, 602.6.1 and 802.7. Holes in load-bearing members of cold-formed steel light-frame construction shall be permitted only in accordance with Sections 505.2.6, 603.2.6 and 804.2.6. In accordance with the provisions of Sections 505.3.5, 603.3.4 and 804.3.3, cutting and notching of flanges and lips of load-bearing members of cold-formed steel light-frame construction shall not be permitted. Structural insulated panels (SIPs) shall be drilled and notched or altered in accordance with the provisions of Section 610.7."
M2101.7,Chapter 21 Hydronic Piping,Prohibited Tee Applications,Fluid in the supply side of a hydronic system shall not enter a tee fitting through the branch opening.
M2101.8,Chapter 21 Hydronic Piping,"Expansion, Contraction and Settlement","Piping shall be installed so that piping, connections and equipment shall not be subjected to excessive strains or stresses. Provisions shall be made to compensate for expansion, contraction, shrinkage and structural settlement."
