id,section,title,body
21,,Masonry,"User notes:About this chapter: Chapter 21 establishes minimum requirements for masonry construction. The provisions address: material specifications and test methods; types of wall construction; criteria for engineered and empirical designs; and required details of construction, including the execution of construction. The provisions provide a framework for applying applicable standards to the design and construction of masonry structures. Masonry design methodologies including allowable stress design, strength design and empirical design are covered by the provisions of this chapter. Also addressed are masonry fireplaces and chimneys, masonry heaters and glass unit masonry.Code development reminder: Code change proposals to this chapter will be considered by the IBC—Structural Code Development Committee during the 2022 (Group B) Code Development Cycle."
2101,Chapter 21 Masonry,General,
2101.1,Section 2101 General,Scope,"This chapter shall govern the materials, design, construction and quality of masonry."
2101.2,Section 2101 General,Design Methods,"Masonry shall comply with the provisions of TMS 402, TMS 403 or TMS 404 as well as applicable requirements of this chapter. Design loads shall be determined in accordance with Chapter 16."
2101.2.1,Section 2101 General,Masonry Veneer,Masonry veneer shall comply with the provisions of Chapter 14.
2101.3,Section 2101 General,Special Inspection,"Where required, special inspections and tests of masonry shall be in accordance with Chapter 17."
2102,Chapter 21 Masonry,Notations,
2102.1,Section 2102 Notations,General,"The following notations are used in the chapter: NOTATIONS. db = Diameter of reinforcement, inches (mm). Fs = Allowable tensile or compressive stress in reinforcement, psi (MPa). fr = Modulus of rupture, psi (MPa). f 'AAC = Specified compressive strength of AAC masonry, the minimum compressive strength for a class of AAC masonry as specified in TMS 602 , psi (MPa). f 'm = Specified compressive strength of masonry at age of 28 days, psi (MPa). f 'mi = Specified compressive strength of masonry at the time of prestress transfer, psi (MPa). K = The lesser of the masonry cover, clear spacing between adjacent reinforcement, or five times db, inches (mm). Ls = Distance between supports, inches (mm). ld = Required development length or lap length of reinforcement, inches (mm). P = The applied load at failure, pounds (N). St = Thickness of the test specimen measured parallel to the direction of load, inches (mm). Sw = Width of the test specimen measured parallel to the loading cylinder, inches (mm)."
2103,Chapter 21 Masonry,Masonry Construction Materials,
2103.1,Section 2103 Masonry Construction Materials,Masonry Units,"Concrete masonry units, clay or shale masonry units, stone masonry units, glass unit masonry and AAC masonry units shall comply with Article 2.3 of TMS 602. Architectural cast stone shall conform to ASTM C1364 and TMS 504. Adhered manufactured stone masonry veneer units shall conform to ASTM C1670.Exception: Structural clay tile for nonstructural use in fireproofing of structural members and in wall furring shall not be required to meet the compressive strength specifications. The fire-resistance rating shall be determined in accordance with ASTM E119 or UL 263 and shall comply with the requirements of Table 705.5."
