id,section,title,body
29,,Plumbing Systems,"User note: About this chapter: Plumbing systems are another key element of any building. Chapter 29 provides the necessary number of plumbing fixtures, including water closets, lavatories, bathtubs and showers. The quality and design of each fixture must be in accordance with the International Plumbing Code®."
2901,Chapter 29 Plumbing Systems,General,
2901.1,Section 2901 General,Scope,"The provisions of this chapter shall govern the location, availability, signage and minimum number of plumbing fixtures in buildings and structures covered by this code. Toilet and bathing rooms shall be constructed in accordance with Section 1209. The Plumbing Code shall govern the installation, alteration, repair, relocation, replacement and addition of plumbing components, appliances, equipment and systems."
2902,Chapter 29 Plumbing Systems,Minimum Plumbing Facilities,
2902.1,Section 2902 Minimum Plumbing Facilities,Minimum Number of Fixtures,"Plumbing fixtures shall be provided in the minimum number as shown in Table 2902.1 based on the actual use of the building or space. Uses not specifically listed in Table 2902.1 shall be considered individually by the building official and shall reflect the use of the space being served by the fixtures. The number of occupants shall be determined by this code. TABLE 2902.1 MINIMUM NUMBER OF REQUIRED PLUMBING FIXTURESa (See Sections 2902.1.1 and 2902.2) No. CLASSIFICATION DESCRIPTION WATER CLOSETS (Urinals may replace water closets at a ratio of 1 urinal per 2/3 water closet) LAVATORIES BATHTUBS/SHOWERS DRINKING FOUNTAINSe Male Female Male Female 1 Assemblyf Theaters and other buildings for the performing arts and motion picturesd 1 per 125 1 per 65 1 per 200 — 1 per floor Nightclubs, bars, taverns, dance halls and buildings for similar purposesd 1 per 40 1 per 40 1 per 75 — 1 per floor Restaurants, banquet halls and food courtsd 1 per 75 1 per 75 1 per 200 — 1 per floor Casino gaming areas 1 per 100 for the first 400 and 1 per 250 for the remainder exceeding 400 1 per 50 for the first 400 and 1 per 150 for the remainder exceeding 400 1 per 250 for the first 750 and 1 per 500 for the remainder exceeding 750 — 1 per floor Auditoriums without permanent seating, art galleries, exhibition halls, museums, lecture halls, libraries, arcades and gymnasiumsd 1 per 125 1 per 65 1 per 200 — 1 per floor Passenger terminals and transportation facilitiesd 1 per 500 1 per 500 1 per 750 — 1 per floor Places of worship and other religious services without fixed seatingd 1 per 120 1 per 60 1 per 200 — 1 per floor Places of worship and other religious services with fixed seatingd 1 per 150 1 per 75 1 per 200 — 1 per floor Coliseums, arenas, skating rinks, pools and tennis courts for indoor sporting events and activities 1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,500 1 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,520 1 per 200 1 per 150 — 1 per floor Stadiums, amusement parks, bleachers and grandstands for outdoor sporting events and activitiesf 1 per 75 for the first 1,500 and 1 per 120 for the remainder exceeding 1,500 1 per 40 for the first 1,520 and 1 per 60 for the remainder exceeding 1,520 1 per 200 1 per 150 — 1 per floor 2 Businessf Buildings for the transaction of business, professional services, other services involving merchandise, office buildings, banks, light industrial, ambulatory care and similar uses 1 per 25 for the first 50 and 1 per 50 for the remainder exceeding 50 1 per 40 for the first 80 and 1 per 80 for the remainder exceeding 80 — — 3 Educational Educational facilities 1 per 50 1 per 50 — 1 per floor 4 Factory and industrial Structures in which occupants are engaged in work fabricating, assembly or processing of products or materials 1 per 100 1 per 100 — — 5 Institutional Custodial care facilities 1 per 10 1 per 10 — — Medical care recipients in hospitals and nursing homesb 1 per roomc 1 per roomc 1 per 8 — Employees in hospitals and nursing homesb 1 per 25 1 per 35 1 per 15 — Visitors in hospitals and nursing homes 1 per 75 1 per 100 — — Prisonsb 1 per cell 1 per cell 1 per 15 — Reformatories, detention centers and correctional centersb 1 per 15 1 per 15 1 per 15 — Employees in reformatories, detention centers and correctional centersb 1 per 25 1 per 35 — — Adult day care and child day care 1 per 15 1 per 15 1 — 6 Mercantile Retail stores, service stations, shops, salesrooms, markets and shopping centers 1 per 500 1 per 750 — — 7 Residential Hotels, motels, boarding houses (transient) 1 per sleeping unit 1 per sleeping unit 1 per sleeping unit — Dormitories, fraternities, sororities and boarding houses (not transient) 1 per 10 1 per 10 1 per 8 — Apartment house 1 per dwelling unit 1 per dwelling unit 1 per dwelling unit — One- and two-family dwellings and lodging houses with five or fewer guestrooms 1 per dwelling unit 1 per 10 1 per dwelling unit — Congregate living facilities with 16 or fewer persons 1 per 10 1 per 10 — — 8 Storage Structures for the storage of goods, warehouses, storehouses and freight depots, low and moderate hazard 1 per 100 1 per 100 — — The fixtures shown are based on one fixture being the minimum required for the number of persons indicated or any fraction of the number of persons indicated. The number of occupants shall be determined by this code. Toilet facilities for employees shall be separate from facilities for inmates or care recipients. A single-user toilet room with one water closet and one lavatory serving not more than two adjacent patient sleeping units shall be permitted, provided that each patient sleeping unit has direct access to the toilet room and provisions for privacy for the toilet room user are provided. The occupant load for seasonal outdoor seating and entertainment areas shall be included when determining the minimum number of facilities required. A drinking fountain need not be provided in a drinking or dining establishment. Amenity spaces, leasing offices and storage spaces accessed only by the occupants of Group R-2 dwelling units and their guests, building leasing agents and their staff, or building maintenance personnel may be provided a single-user toilet room for up to the first 100 occupants."
2902.1.1,Section 2902 Minimum Plumbing Facilities,Fixture Calculations,"To determine the occupant load of each sex, the total occupant load shall be divided in half. To determine the required number of fixtures, the fixture ratio or ratios for each fixture type shall be applied to the occupant load of each sex in accordance with Table 2902.1. Fractional numbers resulting from applying the fixture ratios of Table 2902.1 shall be rounded up to the next whole number. For calculations involving multiple occupancies, such fractional numbers for each occupancy shall first be summed and then rounded up to the next whole number. Exceptions: The total occupant load shall not be required to be divided in half where approved statistical data indicates a distribution of the sexes of other than 50 percent of each sex. Where multiple-user facilities are designed to serve all genders, the minimum fixture count shall be calculated 100 percent, based on total occupant load. In such multiple-user user facilities, each fixture type shall be in accordance with ICC A117.1. Distribution of the sexes is not required where single-user water closets and bathing room fixtures are provided in accordance with Section 2902.1.2."
2902.1.2,Section 2902 Minimum Plumbing Facilities,Single-User Toilet and Bathing Room Fixtures,"The plumbing fixtures located in single-user toilet and bathing rooms, including family or assisted-use toilet and bathing rooms that are required by Section 1110.2.1, shall contribute toward the total number of required plumbing fixtures for a building or tenant space. Single-user toilet and bathing rooms, and family or assisted-use toilet rooms and bathing rooms shall be identified as being available for use by all persons regardless of their sex.The total number of fixtures shall be permitted to be based on the required number of separate facilities or based on the aggregate of any combination of single-user or separate facilities."
2902.1.3,Section 2902 Minimum Plumbing Facilities,Lavatory Distribution,"Where two or more toilet rooms are provided for each sex, the required number of lavatories shall be distributed proportionately to the required number of water closets."
2902.2,Section 2902 Minimum Plumbing Facilities,Separate Facilities,"Where plumbing fixtures are required, separate facilities shall be provided for each sex. Exceptions: Separate facilities shall not be required for dwelling units and sleeping units. Separate facilities shall not be required in structures or tenant spaces with a total occupant load, including both employees and customers, of 30 or fewer. One single-user toilet room shall be permitted. Separate facilities shall not be required in mercantile occupancies in which the maximum occupant load is 100 or fewer. Separate facilities shall not be required in business occupancies in which the maximum occupant load, including both employees and customers, is 50 or fewer. One single-user toilet room shall be permitted. Separate facilities shall not be required where the operational needs of a facility necessitate other approved configurations. Separate facilities shall not be required to be designated by sex where single-user toilet rooms are provided in accordance with Section 2902.1.2. Separate facilities shall not be required where rooms having both water closets and lavatory fixtures are designed for use by both sexes and water closet and urinal privacy is installed in accordance with Chapter 12. Urinals shall be located in an area visually separated from the remainder of the facility or each urinal that is provided shall be located in a stall."
2902.2.1,Section 2902 Minimum Plumbing Facilities,Family or Assisted-Use Toilet Facilities Serving as Separate Facilities,"Where a building or tenant space requires a separate toilet facility for each sex and each toilet facility is required to have only one water closet, two family or assisted-use toilet facilities shall be permitted to serve as the required separate facilities. Family or assisted-use toilet facilities shall not be required to be identified for exclusive use by either sex as required by Section 2902.4."
