id,section,title,body
15,,Construction Safeguards,"User notes:About this chapter: Chapter 15 looks to the construction process. Parameters are provided for demolition and for protecting adjacent property during demolition and construction. Issues such as how to provide egress and adequate water supply while the building is growing, the timing of standpipe and sprinkler installation, and protection of pedestrians are addressed. Note that this chapter is consistent with Chapter 33 of the International Building Code and Chapter 33 of the International Fire Code."
1501,Chapter 15 Construction Safeguards,General,Construction safeguards shall be in accordance with Chapter 33.
1502,Chapter 15 Construction Safeguards,Owner's Responsibility for Fire Protection,
1503,Chapter 15 Construction Safeguards,Sanitary,
1504,Chapter 15 Construction Safeguards,Protection of Pedestrians,
1505,Chapter 15 Construction Safeguards,Protection of Adjoining Property,
1506,Chapter 15 Construction Safeguards,"Temporary Use of Streets, Alleys and Public Property",
1507,Chapter 15 Construction Safeguards,Fire Extinguishers,
1508,Chapter 15 Construction Safeguards,Means of Egress,
1509,Chapter 15 Construction Safeguards,Standpipes,
1510,Chapter 15 Construction Safeguards,Automatic Sprinkler System,
1511,Chapter 15 Construction Safeguards,Accessibility,
1512,Chapter 15 Construction Safeguards,Water Supply for Fire Protection,
