id,section,title,body
23,,Solar Thermal Energy Systems,"User notes:About this chapter: Chapter 23 is specific to thermal solar systems and equipment. Solar voltaic systems are not addressed in this chapter. This chapter covers solar collectors, system design, safety devices, relief valves, freeze protection, expansion tanks, signage, labeling, heat transfer fluids, protection of potable water and potable water heating.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle."
M2301,Chapter 23 Solar Thermal Energy Systems,Solar Thermal Energy Systems,
M2301.1,Chapter 23 Solar Thermal Energy Systems,General,"This section provides for the design, construction, installation, alteration and repair of equipment and systems using solar thermal energy to provide space heating or cooling, hot water heating and swimming pool heating."
M2301.2,Chapter 23 Solar Thermal Energy Systems,Design and Installation,The design and installation of solar thermal energy systems shall comply with Sections M2301.2.1 through M2301.2.13.
M2301.2.1,Chapter 23 Solar Thermal Energy Systems,Access,"Access shall be provided to solar energy equipment for maintenance. Solar systems and appurtenances shall not obstruct or interfere with the operation of any doors, windows or other building components requiring operation or access. Roof-mounted solar thermal equipment shall not obstruct or interfere with the operation of roof-mounted equipment, appliances, chimneys, plumbing vents, roof hatches, smoke vents, skylights and other roof penetrations and openings."
M2301.2.2,Chapter 23 Solar Thermal Energy Systems,Collectors and Panels,Solar collectors and panels shall comply with Sections M2301.2.2.1 and M2301.2.2.2.
M2301.2.2.1,Chapter 23 Solar Thermal Energy Systems,Roof-Mounted Collectors,"The roof shall be constructed to support the loads imposed by roof-mounted solar collectors. Roof-mounted solar collectors that serve as a roof covering shall conform to the requirements for roof coverings in Chapter 9 of this code. Where mounted on or above the roof coverings, the collectors and supporting structure shall be constructed of noncombustible materials or fire-retardant-treated wood equivalent to that required for the roof construction."
M2301.2.2.2,Chapter 23 Solar Thermal Energy Systems,Collector Sensors,"Collector sensor installation, sensor location and the protection of exposed sensor wires from degradation shall be in accordance with ICC 900/SRCC 300."
M2301.2.3,Chapter 23 Solar Thermal Energy Systems,Pressure and Temperature Relief Valves and System Components,"System components containing fluids shall be protected with temperature and pressure relief valves or pressure relief valves. Relief devices shall be installed in sections of the system so that a section cannot be valved off or isolated from a relief device. Direct systems and the potable water portion of indirect systems shall be equipped with a relief valve in accordance with Section P2804. For indirect systems, pressure relief valves in solar loops shall comply with ICC 900/SRCC 300. System components shall have a working pressure rating of not less than the setting of the pressure relief device."
M2301.2.4,Chapter 23 Solar Thermal Energy Systems,Vacuum Relief,System components that might be subjected to a vacuum during operation or shutdown shall be designed to withstand such a vacuum or shall be protected with vacuum relief valves.
M2301.2.5,Chapter 23 Solar Thermal Energy Systems,Piping Insulation,"Piping shall be insulated in accordance with the requirements of Chapter 11. Exterior insulation shall be protected from ultraviolet degradation. The entire solar loop shall be insulated. Where split-style insulation is used, the seam shall be sealed. Fittings shall be fully insulated. Exceptions: Those portions of the piping that are used to help prevent the system from overheating shall not be required to be insulated. Those portions of piping that are exposed to solar radiation, made of the same material as the solar collector absorber plate and are covered in the same manner as the solar collector absorber, or that are used to collect additional solar energy, shall not be required to be insulated. Piping in thermal solar systems using unglazed solar collectors to heat a swimming pool shall not be required to be insulated."
M2301.2.6,Chapter 23 Solar Thermal Energy Systems,Protection From Freezing,System components shall be protected from damage resulting from freezing of heat-transfer liquids at the winter design temperature provided in Table R301.2. Freeze protection shall be provided in accordance with ICC 900/SRCC 300. Drain-back systems shall be installed in compliance with Section M2301.2.6.1. Systems utilizing freeze-protection valves shall comply with Section M2301.2.6.2.Exception: Where the 97.5-percent winter design temperature is greater than or equal to 48°F (9°C).
M2301.2.6.1,Chapter 23 Solar Thermal Energy Systems,Drain-Back Systems,"Drain-back systems shall be designed and installed to allow for manual gravity draining of fluids from areas subject to freezing to locations not subject to freezing, and air filling of the components and piping. Such piping and components shall maintain a horizontal slope in the direction of flow of not less than 1/4 unit vertical in 12 units horizontal (2-percent slope). Piping and components subject to manual gravity draining shall permit subsequent air filling upon drainage and air venting upon refilling."
M2301.2.6.2,Chapter 23 Solar Thermal Energy Systems,Freeze-Protection Valves,Freeze-protection valves shall discharge in a manner that does not create a hazard or structural damage.
M2301.2.7,Chapter 23 Solar Thermal Energy Systems,Storage Tank Sensors,Storage tank sensors shall comply with ICC 900/SRCC 300.
M2301.2.8,Chapter 23 Solar Thermal Energy Systems,Expansion Tanks,"Expansion tanks in solar energy systems shall be installed in accordance with Section M2003 in solar collector loops that contain pressurized heat transfer fluid. Where expansion tanks are used, the system shall be designed in accordance with ICC 900/SRCC 300 to provide an expansion tank that is sized to withstand the maximum operating pressure of the system.Exception: Expansion tanks shall not be required in the collector loop of drain-back systems."
M2301.2.9,Chapter 23 Solar Thermal Energy Systems,Roof and Wall Penetrations,"Roof and wall penetrations shall be flashed and sealed in accordance with Chapter 9 to prevent entry of water, rodents and insects."
M2301.2.10,Chapter 23 Solar Thermal Energy Systems,Description and Warning Labels,Solar thermal systems shall comply with description label and warning label requirements of Section M2301.2.11.2 and ICC 900/SRCC 300.
M2301.2.11,Chapter 23 Solar Thermal Energy Systems,Solar Loop,Solar loops shall be in accordance with Sections M2301.2.11.1 and M2301.2.11.2.
M2301.2.11.1,Chapter 23 Solar Thermal Energy Systems,Solar Loop Isolation,Valves shall be installed to allow the solar loop to be isolated from the remainder of the system.
M2301.2.11.2,Chapter 23 Solar Thermal Energy Systems,Drain and Fill Valve Labels and Caps,Drain and fill valves shall be labeled with a description and warning that identifies the fluid in the solar loop and a warning that the fluid might be discharged at high temperature and pressure. Drain caps shall be installed at drain and fill valves.
M2301.2.12,Chapter 23 Solar Thermal Energy Systems,Maximum Temperature Limitation,Systems shall be equipped with means to limit the maximum water temperature of the system fluid entering or exchanging heat with any pressurized vessel inside the dwelling to 180°F (82°C). This protection is in addition to the required temperature and pressure relief valves required by Section M2301.2.3.
M2301.2.13,Chapter 23 Solar Thermal Energy Systems,Thermal Storage Unit Seismic Bracing,"In Seismic Design Categories D0, D1 and D2 and in townhouses in Seismic Design Category C, thermal storage units shall be anchored in accordance with Section M1307.2."
M2301.3,Chapter 23 Solar Thermal Energy Systems,Labeling,Labeling shall comply with Sections M2301.3.1 and M2301.3.2.
M2301.3.1,Chapter 23 Solar Thermal Energy Systems,Collectors and Panels,"Solar thermal collectors and panels shall be listed and labeled in accordance with ICC 901/SRCC 100. Factory-built collectors shall bear a label indicating the manufacturer's name, model number and serial number."
M2301.3.2,Chapter 23 Solar Thermal Energy Systems,Thermal Storage Units,"Pressurized water storage tanks shall bear a label indicating the manufacturer's name and address, model number, serial number, storage unit maximum and minimum allowable operating temperatures and storage unit maximum and minimum allowable operating pressures. The label shall clarify that these specifications apply only to the water storage tanks."
M2301.4,Chapter 23 Solar Thermal Energy Systems,Heat Transfer Gases or Liquids and Heat Exchangers,"Essentially toxic transfer fluids, ethylene glycol, flammable gases and flammable liquids shall not be used as heat transfer fluids. Heat transfer gases and liquids shall be rated to withstand the system's maximum design temperature under operating conditions without degradation. Heat exchangers used in solar thermal systems shall comply with Section P2902.5.2 and ICC 900/SRCC 300.Heat transfer fluids shall be in accordance with ICC 900/SRCC 300. The flash point of the heat transfer fluids utilized in solar thermal systems shall be not less than 50°F (28°C) above the design maximum nonoperating or no-flow temperature attained by the fluid in the collector."
M2301.5,Chapter 23 Solar Thermal Energy Systems,Backflow Protection,Connections from the potable water supply to solar systems shall comply with Section P2902.5.5.
M2301.6,Chapter 23 Solar Thermal Energy Systems,Filtering,Air provided to occupied spaces that passes through thermal mass storage systems by mechanical means shall be filtered for particulates at the outlet of the thermal mass storage system.
M2301.7,Chapter 23 Solar Thermal Energy Systems,Solar Thermal Systems for Heating Potable Water,"Where a solar thermal system heats potable water to supply a potable hot water distribution system, the solar thermal system shall be in accordance with Sections M2301.7.1, M2301.7.2 and P2902.5.5."
M2301.7.1,Chapter 23 Solar Thermal Energy Systems,Indirect Systems,Heat exchangers that are components of indirect solar thermal heating systems shall comply with Section P2902.5.2.
M2301.7.2,Chapter 23 Solar Thermal Energy Systems,Direct Systems,"Where potable water is directly heated by a solar thermal system, the pipe, fittings, valves and other components that are in contact with the potable water in the solar heating system shall comply with the requirements of Chapter 29."
