id,section,title,body
2,,Definitions,"User notes: About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purposes of the code. Code development reminder: Code change proposals to sections preceded by the designation [A] or [BS] will be considered by one of the code development committees meeting during the 2022 (Group B) Code Development Cycle."
201,Chapter 2 Definitions,General,
201.1,Section 201 General,Scope,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
201.2,Section 201 General,Interchangeability,"Words used in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
201.3,Section 201 General,Terms Defined in Other Codes,"Where terms are not defined in this code and are defined in the International Energy Conservation Code, International Fuel Gas Code, International Fire Code, International Mechanical Code or International Plumbing Code, such terms shall have the meanings ascribed to them as in those codes."
201.4,Section 201 General,Terms Not Defined,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies."
202,Chapter 2 Definitions,Definitions,
24_hour_basis_,Section 202 Definitions,24-Hour Basis,The actual time that a person is an occupant within a facility for the purpose of receiving care. It shall not include a facility that is open for 24 hours and is capable of providing care to someone visiting the facility during any segment of the 24 hours.
aac_masonry_,Section 202 Definitions,AAC Masonry,"Masonry made of autoclaved aerated concrete (AAC) units, manufactured without internal reinforcement and bonded together using thin- or thick-bed mortar."
accessible_,Section 202 Definitions,Accessible,"A site, building, facility or portion thereof that complies with Chapter 11."
accessible_means_of_egress_,Section 202 Definitions,Accessible Means of Egress,A continuous and unobstructed way of egress travel from any accessible point in a building or facility to a public way.
accessible_route_,Section 202 Definitions,Accessible Route,"A continuous, unobstructed path that complies with Chapter 11."
accessible_unit_,Section 202 Definitions,Accessible Unit,A dwelling unit or sleeping unit that complies with this code and the provisions for Accessible units in ICC A117.1.
accreditation_body_,Section 202 Definitions,Accreditation Body,"An approved, third-party organization that is independent of the grading and inspection agencies, and the lumber mills, and that initially accredits and subsequently monitors, on a continuing basis, the competency and performance of a grading or inspection agency related to carrying out specific tasks."
addition_,Section 202 Definitions,Addition,"An extension or increase in floor area, number of stories or height of a building or structure."
adhered_masonry_veneer_,Section 202 Definitions,Adhered Masonry Veneer,Veneer secured and supported through the adhesion of an approved bonding material applied to an approved backing.
adobe_construction_,Section 202 Definitions,Adobe Construction,"Construction in which the exterior load-bearing and nonload-bearing walls and partitions are of unfired clay masonry units, and floors, roofs and interior framing are wholly or partly of wood or other approved materials."
adobe_stabilized_,Section 202 Definitions,"Adobe, Stabilized","Unfired clay masonry units to which admixtures, such as emulsified asphalt, are added during the manufacturing process to limit the units' water absorption so as to increase their durability."
adobe_unstabilized_,Section 202 Definitions,"Adobe, Unstabilized","Unfired clay masonry units that do not meet the definition of ""Adobe, stabilized."""
aerosol_container_,Section 202 Definitions,Aerosol Container,"A metal can or plastic container up to a maximum size of 33.8 fluid ounces (1000 ml), or a glass bottle up to a maximum size of 4 fluid ounces (118 ml), designed and intended to dispense an aerosol."
aerosol_product_,Section 202 Definitions,Aerosol Product,"A combination of a container, a propellant and a material that is dispensed. Aerosol products shall be classified by means of the calculation of their chemical heats of combustion and shall be designated Level 1, Level 2 or Level 3."
level_1_aerosol_products_,Section 202 Definitions,Level 1 Aerosol Products,"Those with a total chemical heat of combustion that is less than or equal to 8,600 British thermal units per pound (Btu/lb) (20 kJ/g)."
level_2_aerosol_products_,Section 202 Definitions,Level 2 Aerosol Products,"Those with a total chemical heat of combustion that is greater than 8,600 Btu/lb (20 kJ/g), but less than or equal to 13,000 Btu/lb (30 kJ/g)."
level_3_aerosol_products_,Section 202 Definitions,Level 3 Aerosol Products,"Those with a total chemical heat of combustion that is greater than 13,000 Btu/lb (30 kJ/g)."
aggregate_,Section 202 Definitions,Aggregate,"In roofing, crushed stone, crushed slag or water-worn gravel used for surfacing for roof coverings."
