id,section,title,body
31,,Special Construction,"User notes: About this chapter: Chapter 31 provides regulations for unique buildings and building elements. Those include buildings such as membrane structures, greenhouses and relocatable buildings. Special elements include pedestrian walkways and tunnels, awnings, canopies and marquees, vehicular gates, solar energy systems, public use restrooms in flood hazard areas, and intermodal shipping containers. Code development reminder: Code change proposals to sections preceded by the designation [BS] will be considered by the IBC—Structural Code Development Committee during the 2022 (Group B) Code Development Cycle."
3101,Chapter 31 Special Construction,General,
3101.1,Section 3101 General,Scope,"The provisions of this chapter shall govern special building construction including membrane structures, temporary structures, pedestrian walkways and tunnels, automatic vehicular gates, awnings and canopies, marquees, signs, towers, antennas, relocatable buildings, swimming pool enclosures and safety devices, solar energy systems, public use restroom buildings on publicly owned lands in flood hazard areas and intermodal shipping containers."
3102,Chapter 31 Special Construction,Membrane Structures,
3102.1,Section 3102 Membrane Structures,General,"The provisions of Sections 3102.1 through 3102.8 shall apply to air-supported, air-inflated, membrane-covered cable, membrane-covered frame and tensile membrane structures, collectively known as membrane structures, erected for a period of 180 days or longer. Those erected for a shorter period of time shall comply with the International Fire Code. Membrane structures covering water storage facilities, water clarifiers, water treatment plants, sewage treatment plants, greenhouses and similar facilities not used for human occupancy are required to meet only the requirements of Sections 3102.3.1 and 3102.7. Membrane structures erected on a building, balcony, deck or other structure for any period of time shall comply with this section."
3102.2,Section 3102 Membrane Structures,Tensile Membrane Structures and Air-Supported Structures,"Tensile membrane structures and air-supported structures, including permanent and temporary structures, shall be designed and constructed in accordance with ASCE 55. The provisions in Sections 3102.3 through 3102.6 shall apply."
3102.3,Section 3102 Membrane Structures,Type of Construction,"Noncombustible membrane structures shall be classified as Type IIB construction. Noncombustible frame or cable-supported structures covered by an approved membrane in accordance with Section 3102.3.1 shall be classified as Type IIB construction. Heavy timber frame-supported structures covered by an approved membrane in accordance with Section 3102.3.1 shall be classified as Type IV-HT construction. Other membrane structures shall be classified as Type V construction.Exception: Plastic less than 30 feet (9144 mm) above any floor used in greenhouses, where occupancy by the general public is not authorized, and for aquaculture pond covers is not required to meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701."
3102.3.1,Section 3102 Membrane Structures,Membrane and Interior Liner Material,"Membranes and interior liners shall be either noncombustible as set forth in Section 703.3 or meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701 and the manufacturer's test protocol.Exception: Plastic less than 20 mil (0.5 mm) in thickness used in greenhouses, where occupancy by the general public is not authorized, and for aquaculture pond covers is not required to meet the fire propagation performance criteria of Test Method 1 or Test Method 2, as appropriate, of NFPA 701."
3102.4,Section 3102 Membrane Structures,Allowable Floor Areas,The area of a membrane structure shall not exceed the limitations specified in Section 506.
3102.5,Section 3102 Membrane Structures,Maximum Height,Membrane structures shall not exceed one story nor shall such structures exceed the height limitations in feet specified in Section 504.3.Exception: Noncombustible membrane structures serving as roofs only.
