id,section,reference,title,depth,body
,,2,Chapter 2 Definitions,0,"User notes: About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code. Code development reminder: Code change proposals to definitions in this chapter preceded by a bracketed letter are considered by the IRC—Building Code Development Committee [RB], the IRC—Mechanical/Plumbing Code Development Committee [MP] or the IECC—Residential Code Development Committee [RE] during the Group B (2022) Code Development Cycle."
2,Chapter 2 Definitions,R201,Section R201 General,1,
2,Chapter 2 Definitions,R201.1,R201.1 Scope,2,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings indicated in this chapter."
2,Chapter 2 Definitions,R201.2,R201.2 Interchangeability,2,"Words used in the present tense include the future; words in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural, the singular."
2,Chapter 2 Definitions,R201.3,R201.3 Terms Defined in Other Codes,2,Where terms are not defined in this code such terms shall have the meanings ascribed in other code publications of the International Code Council.
2,Chapter 2 Definitions,R201.4,R201.4 Terms Not Defined,2,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies."
2,Chapter 2 Definitions,R202,Section R202 Definitions,1,
2,Chapter 2 Definitions,above_grade_wall_,[RE]   Above-Grade Wall,2,"For the definition applicable in Chapter 11, see Section N1101.6."
2,Chapter 2 Definitions,access_to_,[RB]   Access (To),2,"That which enables a device, an appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel, door or similar obstruction."
2,Chapter 2 Definitions,accessory_structure_,[RB]   Accessory Structure,2,A structure that is accessory to and incidental to that of the dwelling(s) and that is located on the same lot.
2,Chapter 2 Definitions,addition_,[RB]   Addition,2,"An extension or increase in floor area, number of stories or height of a building or structure. For the definition applicable in Chapter 11, see Section N1101.6."
2,Chapter 2 Definitions,adhered_stone_or_masonry_veneer_,[RB]   Adhered Stone or Masonry Veneer,2,Stone or masonry veneer secured and supported through the adhesion of an approved bonding material applied to an approved backing.
2,Chapter 2 Definitions,air_admittance_valve_,[MP]   Air Admittance Valve,2,A one-way valve designed to allow air into the plumbing drainage system where a negative pressure develops in the piping. This device shall close by gravity and seal the terminal under conditions of zero differential pressure (no flow conditions) and under positive internal pressure.
2,Chapter 2 Definitions,air_barrier_,[RE]   Air Barrier,2,"For the definition applicable in Chapter 11, see Section N1101.6."
2,Chapter 2 Definitions,air_break_drainage_system_,[MP]   Air Break (Drainage System),2,"An arrangement where a discharge pipe from a fixture, appliance or device drains indirectly into a receptor below the flood-level rim of the receptor and above the trap seal."
2,Chapter 2 Definitions,air_circulation_forced_,"[MP]   Air Circulation, Forced",2,A means of providing space conditioning utilizing movement of air through ducts or plenums by mechanical means.
2,Chapter 2 Definitions,air_gap_drainage_system_,"[MP]   Air Gap, Drainage System",2,The unobstructed vertical distance through free atmosphere between the outlet of a waste pipe and the flood-level rim of the fixture or receptor into which it is discharging.
2,Chapter 2 Definitions,air_gap_water_distribution_system_,"[MP]   Air Gap, Water-Distribution System",2,The unobstructed vertical distance through free atmosphere between the lowest opening from a water supply discharge to the flood-level rim of a plumbing fixture.
2,Chapter 2 Definitions,air_conditioning_system_,[MP]   Air-Conditioning System,2,"A system that consists of heat exchangers, blowers, filters, supply, exhaust and return-air systems, and shall include any apparatus installed in connection therewith."
2,Chapter 2 Definitions,air_impermeable_insulation_,[RB]   Air-Impermeable Insulation,2,An insulation having an air permanence equal to or less than 0.02 L/s-m2 at 75 Pa pressure differential as tested in accordance with ASTM E283 or E2178.
2,Chapter 2 Definitions,alteration_,[RB]   Alteration,2,"Any construction, retrofit or renovation to an existing structure other than repair or addition that requires a permit. Also, a change in a building, electrical, gas, mechanical or plumbing system that involves an extension, addition or change to the arrangement, type or purpose of the original installation that requires a permit. For the definition applicable in Chapter 11, see Section N1101.6."
2,Chapter 2 Definitions,alternating_tread_device_,[RB]   Alternating Tread Device,2,"A device that has a series of steps between 50 and 70 degrees (0.87 and 1.22 rad) from horizontal, usually attached to a center support rail in an alternating manner so that the user does not have both feet on the same level at the same time."
2,Chapter 2 Definitions,anchored_stone_or_masonry_veneer_,[RB]   Anchored Stone or Masonry Veneer,2,Stone or masonry veneer secured with approved mechanical fasteners to an approved backing.
2,Chapter 2 Definitions,anchors_,[MP]   Anchors,2,"See ""Supports."""
2,Chapter 2 Definitions,antisiphon_,[MP]   Antisiphon,2,A term applied to valves or mechanical devices that eliminate siphonage.
2,Chapter 2 Definitions,appliance_,[MP]   Appliance,2,A device or apparatus that is manufactured and designed to utilize energy and for which this code provides specific requirements.
2,Chapter 2 Definitions,approved_,[RB]   Approved,2,Acceptable to the building official.
2,Chapter 2 Definitions,approved_agency_,[RB]   Approved Agency,2,"An established and recognized agency that is regularly engaged in conducting tests, furnishing inspection services or furnishing product certification, and has been approved by the building official."
2,Chapter 2 Definitions,approved_source_,[MP]   Approved Source,2,"An independent person, firm or corporation, approved by the building official, who is competent and experienced in the application of engineering principles to materials, methods or systems analyses."
2,Chapter 2 Definitions,aspect_ratio_,[RB]   Aspect Ratio,2,"The ratio of longest to shortest perpendicular dimensions, or for wall sections, the ratio of height to length."
2,Chapter 2 Definitions,attic_,[RB]   Attic,2,The unfinished space between the ceiling assembly and the roof assembly.
2,Chapter 2 Definitions,attic_habitable_,"[RB]   Attic, Habitable",2,A finished or unfinished habitable space within an attic.
2,Chapter 2 Definitions,automatic_,[RE]   Automatic,2,"For the definition applicable in Chapter 11, see Section N1101.6."
2,Chapter 2 Definitions,backflow_drainage_,"[MP]   Backflow, Drainage",2,A reversal of flow in the drainage system.
2,Chapter 2 Definitions,backflow_water_distribution_,"[MP]   Backflow, Water Distribution",2,The flow of water or other liquids into the potable water-supply piping from any sources other than its intended source. Backsiphonage is one type of backflow.
2,Chapter 2 Definitions,backflow_preventer_,[MP]   Backflow Preventer,2,"A backflow prevention assembly, a backflow prevention device or other means or method to prevent backflow into the potable water supply."
2,Chapter 2 Definitions,backflow_preventer_reduced_pressure_zone_type_,"[MP]   Backflow Preventer, Reduced-Pressure-Zone Type",2,"A backflow-prevention device consisting of two independently acting check valves, internally force loaded to a normally closed position and separated by an intermediate chamber (or zone) in which there is an automatic relief means of venting to atmosphere internally loaded to a normally open position between two tightly closing shutoff valves and with means for testing for tightness of the checks and opening of relief means."
2,Chapter 2 Definitions,backpressure_,[MP]   Backpressure,2,Pressure created by any means in the water distribution system that by being in excess of the pressure in the water supply mains causes a potential backflow condition.
2,Chapter 2 Definitions,backpressure_low_head_,"[MP]   Backpressure, Low Head",2,A pressure less than or equal to 4.33 psi (29.88 kPa) or the pressure exerted by a 10-foot (3048 mm) column of water.
2,Chapter 2 Definitions,backsiphonage_,[MP]   Backsiphonage,2,The flowing back of used or contaminated water from piping into a potable water-supply pipe due to a negative pressure in such pipe.
2,Chapter 2 Definitions,backwater_valve_,[MP]   Backwater Valve,2,A device installed in a drain or pipe to prevent backflow of sewage.
2,Chapter 2 Definitions,balanced_ventilation_,[MP]   Balanced Ventilation,2,Any combination of concurrently operating mechanical exhaust and mechanical supply whereby the total mechanical exhaust airflow rate is within 10 percent of the total mechanical supply airflow rate.
2,Chapter 2 Definitions,balanced_ventilation_system_,[MP]   Balanced Ventilation System,2,A ventilation system where the total supply airflow and total exhaust airflow are simultaneously within 10 percent of their averages. The balanced ventilation system airflow is the average of the supply and exhaust airflows.
2,Chapter 2 Definitions,basement_,[RB]   Basement,2,"A story that is not a story above grade plane (see ""Story above grade plane"")."
2,Chapter 2 Definitions,basement_wall_,[RE]   Basement Wall,2,"For the definition applicable in Chapter 11, see Section N1101.6."
