id,section,title,body
12,,Interior Environment,"User note: About this chapter: Chapter 12 provides minimum provisions for the interior of buildings—the occupied environment. Ventilation, lighting, and space heating are directly regulated in this chapter and in conjunction with the International Mechanical Code® and the International Energy Conservation Code®. Minimum room size, maximum room-to-room sound transmission and classroom acoustics are set for educational occupancies."
1201,Chapter 12 Interior Environment,General,
1201.1,Section 1201 General,Scope,"The provisions of this chapter shall govern ventilation, temperature control, lighting, yards and courts, sound transmission, room dimensions, surrounding materials and rodentproofing associated with the interior spaces of buildings."
1202,Chapter 12 Interior Environment,Ventilation,
1202.1,Section 1202 Ventilation,General,"Buildings shall be provided with natural ventilation in accordance with Section 1202.5, or mechanical ventilation in accordance with the International Mechanical Code. Ambulatory care facilities and Group I-2 occupancies shall be ventilated by mechanical means in accordance with Section 407 of the International Mechanical Code."
1202.2,Section 1202 Ventilation,Roof Ventilation,Roof assemblies shall be ventilated in accordance with this section or shall comply with Section 1202.3.
1202.2.1,Section 1202 Ventilation,Ventilated Attics and Rafter Spaces,"Enclosed attics and enclosed rafter spaces formed where ceilings are applied directly to the underside of roof framing members shall have cross ventilation for each separate space by ventilation openings protected against the entrance of rain and snow. Blocking and bridging shall be arranged so as not to interfere with the movement of air. An airspace of not less than 1 inch (25 mm) shall be provided between the insulation and the roof sheathing. The net free ventilating area shall not be less than 1/150th of the area of the space ventilated. Ventilators shall be installed in accordance with the manufacturer's installation instructions. EXCEPTION: The net free cross-ventilation area shall be permitted to be reduced to 1/300 provided both of the following conditions are met: A Class I or II vapor retarder is installed on the warm-in-winter side of the ceiling. At least 40 percent and not more than 50 percent of the required venting area is provided by ventilators located in the upper portion of the attic or rafter space. Upper ventilators shall be located not more than 3 feet (914 mm) below the ridge or highest point of the space, measured vertically, with the balance of the ventilation provided by eave or cornice vents. Where the location of wall or roof framing members conflicts with the installation of upper ventilators, installation more than 3 feet (914 mm) below the ridge or highest point of the space shall be permitted."
1202.2.2,Section 1202 Ventilation,Openings Into Attic,"Exterior openings into the attic space of any building intended for human occupancy shall be protected to prevent the entry of birds, squirrels, rodents, snakes and other similar creatures. Openings for ventilation having a least dimension of not less than 1/16 inch (1.6 mm) and not more than 1/4 inch (6.4 mm) shall be permitted. Openings for ventilation having a least dimension larger than 1/4 inch (6.4 mm) shall be provided with corrosion-resistant wire cloth screening, hardware cloth, perforated vinyl or similar material with openings having a least dimension of not less than 1/16 inch (1.6 mm) and not more than 1/4 inch (6.4 mm). Where combustion air is obtained from an attic area, it shall be in accordance with Chapter 7 of the International Mechanical Code."
1202.3,Section 1202 Ventilation,Unvented Attic and Unvented Enclosed Rafter Assemblies,"Unvented attics and unvented enclosed roof framing assemblies created by ceilings applied directly to the underside of the roof framing members/rafters and the structural roof sheathing at the top of the roof framing members shall be permitted where all of the following conditions are met: The unvented attic space is completely within the building thermal envelope. No interior Class I vapor retarders are installed on the ceiling side (attic floor) of the unvented attic assembly or on the ceiling side of the unvented enclosed roof framing assembly. Where wood shingles or shakes are used, not less than a 1/4-inch (6.4 mm) vented airspace separates the shingles or shakes and the roofing underlayment above the structural sheathing. In Climate Zones 5, 6, 7 and 8, any air-impermeable insulation shall be a Class II vapor retarder or shall have a Class II vapor retarder coating or covering in direct contact with the underside of the insulation. Insulation shall comply with either Item 5.1 or 5.2, and additionally Item 5.3. Item 5.1.1, 5.1.2, 5.1.3 or 5.1.4 shall be met, depending on the air permeability of the insulation directly under the structural roof sheathing. Where only air-impermeable insulation is provided, it shall be applied in direct contact with the underside of the structural roof sheathing. Where air-permeable insulation is provided inside the building thermal envelope, it shall be installed in accordance with Item 5.1.1. In addition to the air-permeable insulation installed directly below the structural sheathing, rigid board or sheet insulation shall be installed directly above the structural roof sheathing in accordance with the R-values in Table 1202.3 for condensation control. Where both air-impermeable and air-permeable insulation are provided, the air-impermeable insulation shall be applied in direct contact with the underside of the structural roof sheathing in accordance with Item 5.1.1 and shall be in accordance with the R-values in Table 1202.3 for condensation control. The air-permeable insulation shall be installed directly under the air-impermeable insulation. Alternatively, sufficient rigid board or sheet insulation shall be installed directly above the structural roof sheathing to maintain the monthly average temperature of the underside of the structural roof sheathing above 45°F (7°C). For calculation purposes, an interior air temperature of 68°F (20°C) is assumed and the exterior air temperature is assumed to be the monthly average outside air temperature of the three coldest months. In Climate Zones 1, 2 and 3, air-permeable insulation installed in unvented attics shall meet the following requirements: A vapor diffusion port shall be installed not more than 12 inches (305 mm) from the highest point of the roof, measured vertically from the highest point of the roof to the lower edge of the port. The port area shall be greater than or equal to 1/600 of the ceiling area. Where there are multiple ports in the attic, the sum of the port areas shall be greater than or equal to the area requirement. The vapor-permeable membrane in the vapor diffusion port shall have a vapor permeance rating of greater than or equal to 20 perms when tested in accordance with Procedure A of ASTM E96. The vapor diffusion port shall serve as an air barrier between the attic and the exterior of the building. The vapor diffusion port shall protect the attic against the entrance of rain and snow. Framing members and blocking shall not block the free flow of water vapor to the port. Not less than a 2-inch (50 mm) space shall be provided between any blocking and the roof sheathing. Air-permeable insulation shall be permitted within that space. The roof slope shall be greater than or equal to 3 units vertical in 12 units horizontal (3:12). Where only air-permeable insulation is used, it shall be installed directly below the structural roof sheathing, on top the attic floor, or on top of the ceiling. Where only air-permeable insulation is used and is installed directly below the structural roof sheathing, air shall be supplied at a flow rate greater than or equal to 50 cubic feet per minute (23.6 L/s) per 1,000 square feet (93 m2) of ceiling. The air shall be supplied from ductwork providing supply air to the occupiable space when the conditioning system is operating. Alternatively, the air shall be supplied by a supply fan when the conditioning system is operating. Where preformed insulation board is used as the air-impermeable insulation layer, it shall be sealed at the perimeter of each individual sheet interior surface to form a continuous layer. Exceptions: Section 1202.3 does not apply to special use structures or enclosures such as swimming pool enclosures, data processing centers, hospitals or art galleries. Section 1202.3 does not apply to enclosures in Climate Zones 5 through 8 that are humidified beyond 35 percent during the three coldest months. TABLE 1202.3 INSULATION FOR CONDENSATION CONTROL CLIMATE ZONE MINIMUM R-VALUE OF AIR-IMPERMEABLE INSULATIONa 2B and 3B tile roof only 0 (none required) 1, 2A, 2B, 3A, 3B, 3C R-5 4C R-10 4A, 4B R-15 5 R-20 6 R-25 7 R-30 8 R-35 Contributes to, but does not supersede, thermal resistance requirements for attic and roof assemblies in Section C402.2.1 of the International Energy Conservation Code."
1202.4,Section 1202 Ventilation,Under-Floor Ventilation,The space between the bottom of the floor joists and the earth under any building except spaces occupied by basements or cellars shall be provided with ventilation openings through foundation walls or exterior walls. Such openings shall be placed so as to provide cross ventilation of the under-floor space. A ground cover of six mil (0.006 inch thick) black polyethylene or approved equal shall be laid over the ground within crawl spaces. The ground cover shall be overlapped six inches minimum at the joints and shall extend to the foundation wall. EXCEPTION: The ground cover may be omitted in crawl spaces if the crawl space has a concrete slab floor with a minimum thickness of two inches.
1202.4.1,Section 1202 Ventilation,Ventilation Openings,"Ventilation openings through foundation walls shall be provided. The openings shall be placed so as to provide cross ventilation of the under-floor space. The net area of ventilation openings shall be in accordance with Section 1202.4.1.1 or 1202.4.1.2. Ventilation openings shall be covered for their height and width with any of the following materials, provided that the least dimension of the covering shall be not greater than 1/4 inch (6.4 mm):Perforated sheet metal plates not less than 0.070 inch (1.8 mm) thick.Expanded sheet metal plates not less than 0.047 inch (1.2 mm) thick.Cast-iron grilles or gratings.Extruded load-bearing vents.Hardware cloth of 0.035-inch (0.89 mm) wire or heavier.Corrosion-resistant wire mesh, with the least dimension not greater than 1/8 inch (3.2 mm).Operable louvres, where ventilation is provided in accordance with Section 1202.4.1.2."
1202.4.1.1,Section 1202 Ventilation,Ventilation Area for Crawl Spaces With Open Earth Floors,The net area of ventilation openings for crawl spaces with uncovered earth floors shall be not less than 1 square foot for each 150 square feet (0.67 m2for each 100 m2) of crawl space area.
1202.4.1.2,Section 1202 Ventilation,Ventilation Area for Crawl Spaces With Covered Floors,"The net area of ventilation openings for crawl spaces with the ground surface covered with a Class I vapor retarder shall be not less than 1 square foot for each 1,500 square feet (0.67 m2 for each 1000 m2) of crawl space area."
1202.4.2,Section 1202 Ventilation,Ventilation in Cold Climates,"In extremely cold climates, where a ventilation opening will cause a detrimental loss of energy, ventilation openings to the interior of the structure shall be provided."
1202.4.3,Section 1202 Ventilation,Mechanical Ventilation,Mechanical ventilation shall be provided to crawl spaces where the ground surface is covered with a Class I vapor retarder. Ventilation shall be in accordance with Section 1202.4.3.1 or 1202.4.3.2.
1202.4.3.1,Section 1202 Ventilation,Continuous Mechanical Ventilation,Continuously operated mechanical ventilation shall be provided at a rate of 1.0 cubic foot per minute (cfm) for each 50 square feet (1.02 L/s for each 10 m2) of crawl space ground surface area and the ground surface shall be covered with a Class I vapor retarder.
1202.4.3.2,Section 1202 Ventilation,Conditioned Space,The crawl space shall be conditioned in accordance with the International Mechanical Code and the walls of the crawl space shall be insulated in accordance with the International Energy Conservation Code.
1202.4.4,Section 1202 Ventilation,Flood Hazard Areas,"For buildings in flood hazard areas as established in Section 1612.3, the openings for under-floor ventilation shall be deemed as meeting the flood opening requirements of ASCE 24 provided that the ventilation openings are designed and installed in accordance with ASCE 24."
1202.5,Section 1202 Ventilation,Natural Ventilation,"For other than Group R Occupancies, natural ventilation of an occupied space shall be through windows, doors, louvers or other openings to the outdoors. The operating mechanism for such openings shall be provided with ready access so that the openings are readily controllable by the building occupants. Group R Occupancies shall comply with the International Mechanical Code."
1202.5.1,Section 1202 Ventilation,Ventilation Area Required,The openable area of the openings to the outdoors shall be not less than 4 percent of the floor area being ventilated.
1202.5.1.1,Section 1202 Ventilation,Adjoining Spaces,"Where rooms and spaces without openings to the outdoors are ventilated through an adjoining room, the opening to the adjoining room shall be unobstructed and shall have an area of not less than 8 percent of the floor area of the interior room or space, but not less than 25 square feet (2.3 m2). The openable area of the openings to the outdoors shall be based on the total floor area being ventilated.Exception: Exterior openings required for ventilation shall be allowed to open into a sunroom with thermal isolation or a patio cover provided that the openable area between the sunroom addition or patio cover and the interior room shall have an area of not less than 8 percent of the floor area of the interior room or space, but not less than 20 square feet (1.86 m2). The openable area of the openings to the outdoors shall be based on the total floor area being ventilated."
1202.5.1.2,Section 1202 Ventilation,Openings Below Grade,"Where openings below grade provide required natural ventilation, the outside horizontal clear space measured perpendicular to the opening shall be one and one-half times the depth of the opening. The depth of the opening shall be measured from the average adjoining ground level to the bottom of the opening."
1202.5.2,Section 1202 Ventilation,Contaminants Exhausted,Contaminant sources in naturally ventilated spaces shall be removed in accordance with the International Mechanical Code and the International Fire Code.
1202.5.2.1,Section 1202 Ventilation,Bathrooms,"Rooms containing bathtubs, showers, spas and similar bathing fixtures shall be mechanically ventilated in accordance with the International Mechanical Code."
1202.5.3,Section 1202 Ventilation,Openings on Yards or Courts,"Where natural ventilation is to be provided by openings onto yards or courts, such yards or courts shall comply with Section 1205."
1202.6,Section 1202 Ventilation,Other Ventilation and Exhaust Systems,Ventilation and exhaust systems for occupancies and operations involving flammable or combustible hazards or other contaminant sources as covered in the International Mechanical Code or the International Fire Code shall be provided as required by both codes.
1202.7,Section 1202 Ventilation,Radon Resistive Construction Standards,The criteria of this section establishes minimum radon resistive construction requirements for Group R Occupancies.
1202.7.1,Section 1202 Ventilation,Application,The requirements of Section 1202.7 shall be adopted and enforced by all jurisdictions of the state according to the following subsections.
1202.7.1.1,Section 1202 Ventilation,1202.7.1.1,All jurisdictions of the state shall comply with Section 1202.7.2.
1202.7.1.2,Section 1202 Ventilation,1202.7.1.2,"Clark, Ferry, Okanogan, Pend Oreille, Skamania, Spokane, and Stevens counties shall also comply with Section 1202.7.3."
1202.7.2.1,Section 1202 Ventilation,Crawlspaces,All crawlspaces shall comply with the requirements of this section.
1202.7.2.2,Section 1202 Ventilation,Ventilation,"All crawlspaces shall be ventilated as specified in Section 1202.4. If the installed ventilation in a crawlspace is less than one square foot for each 300 square feet of crawlspace area, or if the crawlspace vents are equipped with operable louvers, a radon vent shall be installed to originate from a point between the ground cover and soil. The radon vent shall be installed in accordance with Sections 1202.7.3.2.6 and 1202.7.3.2.7."
1202.7.2.3,Section 1202 Ventilation,Crawlspace Plenum Systems,"In crawlspace plenum systems used for providing supply air for an HVAC system, aggregate, a permanently sealed soil gas retarder membrane and a radon vent pipe shall be installed in accordance with Section 1202.7.3.2. Crawlspaces shall not be used for return air plenums. In addition, an operable radon vent fan shall be installed and activated. The fan shall be located as specified in Section 1202.7.3.2.7. The fan shall be capable of providing at least 100 cfm at 1-inch water column static pressure. The fan shall be controlled by a readily accessible manual switch. The switch shall be labeled ""RADON VENT FAN."""
1202.7.3.1,Section 1202 Ventilation,Scope,"This section applies to those counties specified in Section 1202.7.1.2. This section establishes prescriptive construction requirements for reducing the potential for radon entry into all Group R Occupancies, and for preparing the building for future mitigation if desired.In all crawlspaces, except crawlspace plenums used for providing supply air for an HVAC system, a continuous air barrier shall be installed between the crawlspace area and the occupied area to limit air transport between the areas. If a wood sheet subfloor or other material is utilized as an air barrier, in addition to the requirements of Section 502.1.6.2 of the Washington State Energy Code, all joints between sheets shall be sealed."
1202.7.3.2.1,Section 1202 Ventilation,General,Concrete slabs that are in direct contact with the building envelope shall comply with the requirements of this section. EXCEPTION: Concrete slabs located under garages or other than Group R Occupancies need not comply with this chapter.
1202.7.3.2.2,Section 1202 Ventilation,Aggregate,A layer of aggregate of 4-inch minimum thickness shall be placed beneath concrete slabs. The aggregate shall be continuous to the extent practical.
1202.7.3.2.3,Section 1202 Ventilation,Gradation,"Aggregate shall: Comply with ASTM Standard C-33 Standard Specification for Concrete Aggregate and shall be size No. 8 or larger size aggregate as listed in Table 2, Grading Requirements for Course Aggregate; or Meet the 1988 Washington State Department of Transportation Specification 9-03.1 (3) ""Coarse Aggregate for Portland Cement Concrete,"" or any equivalent successor standards. Aggregate size shall be of Grade 8 or larger as listed in Section 9-03.1 (3) C, ""Grading""; or Be screened, washed pea gravel free of deleterious substances in a manner consistent with ASTM Standard C-33 with 100 percent passing a 1/2-inch sieve and less than 5 percent passing a No. 16 sieve. Sieve characteristics shall conform to those acceptable under ASTM Standard C-33. EXCEPTION: Aggregate shall not be required if a substitute material or system, with sufficient load bearing characteristics, and having approved capability to provide equal or superior air flow, is installed."
