id,section,title,body
4,,Repairs,User note:About this chapter: Chapter 4 provides requirements for repairs of existing buildings. The provisions define conditions under which repairs may be made using materials and methods like those of the original construction or the extent to which repairs must comply with requirements for new buildings.
401,Chapter 4 Repairs,General,
401.1,Section 401 General,Scope,Repairs shall comply with the requirements of this chapter. Repairs to historic buildings need only comply with Chapter 12.
401.1.1,Section 401 General,"Bleachers, Grandstands and Folding and Telescopic Seating","Repairs to existing bleachers, grandstands and folding and telescopic seating shall comply with ICC 300."
401.2,Section 401 General,Compliance,The work shall not make the building less complying than it was before the repair was undertaken. Work on nondamaged components that is necessary for the required repair of damaged components shall be considered part of the repair and shall not be subject to requirements for alterations.
401.3,Section 401 General,Flood Hazard Areas,"In flood hazard areas, repairs that constitute substantial improvement shall require that the building comply with Section 1612 of the International Building Code, or Section R322 of the International Residential Code, as applicable."
401.4,Section 401 General,Demolition and Replacement,"Where a building or structure is effectively demolished by damage or where the intended method of repair is demolition and replacement, the replaced building, including its replaced foundation, shall comply with requirements for new construction in the International Building Code. EXCEPTION: Existing foundations are permitted to remain and be reused where approved by the code official."
402,Chapter 4 Repairs,Building Elements and Materials,
402.1,Section 402 Building Elements and Materials,Glazing in Hazardous Locations,"Replacement glazing in hazardous locations shall comply with the safety glazing requirements of the International Building Code or International Residential Code as applicable.Exception: Glass block walls, louvered windows and jalousies repaired with like materials."
403,Chapter 4 Repairs,Fire Protection,
403.1,Section 403 Fire Protection,General,Repairs shall be done in a manner that maintains the level of fire protection provided.
404,Chapter 4 Repairs,Means of Egress,
404.1,Section 404 Means of Egress,General,Repairs shall be done in a manner that maintains the level of protection provided for the means of egress.
405,Chapter 4 Repairs,Structural,
405.1,Section 405 Structural,General,Structural repairs shall be in compliance with this section and Section 401.2.
405.1.1,Section 405 Structural,Structural Concrete Repairs,"Repair of structural concrete is permitted to comply with ACI 562 Section 1.7, except where Section 405.2.2, 405.2.3, or 405.2.4.1 requires compliance with Section 304.3."
405.2,Section 405 Structural,Repairs to Damaged Buildings,Repairs to damaged buildings shall comply with this section.
405.2.1,Section 405 Structural,Repairs for Less Than Substantial Structural Damage,"Unless otherwise required by this section, for damage less than substantial structural damage, the damaged elements shall be permitted to be restored to their predamage condition."
405.2.1.1,Section 405 Structural,Snow Damage,"Structural components whose damage was caused by or related to snow load effects shall be repaired, replaced or altered to satisfy the requirements of Section 1608 of the International Building Code."
405.2.2,Section 405 Structural,Disproportionate Earthquake Damage,"A building assigned to Seismic Design Category D, E or F that has sustained disproportionate earthquake damage shall be subject to the requirements for buildings with substantial structural damage to vertical elements of the lateral force-resisting system."
405.2.3,Section 405 Structural,Substantial Structural Damage to Vertical Elements of the Lateral Force-Resisting System,"A building that has sustained substantial structural damage to the vertical elements of its lateral force-resisting system shall be evaluated in accordance with Section 405.2.3.1, and either repaired in accordance with Section 405.2.3.2 or repaired and retrofitted in accordance with Section 405.2.3.3, depending on the results of the evaluation.Exceptions:Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
405.2.3.1,Section 405 Structural,Evaluation,"The building shall be evaluated by a registered design professional, and the evaluation findings shall be submitted to the code official. The evaluation shall establish whether the damaged building, if repaired to its predamage state, would comply with the provisions of the International Building Code for load combinations that include wind or earthquake effects, except that the seismic forces shall be the reduced seismic forces."
405.2.3.2,Section 405 Structural,Extent of Repair for Compliant Buildings,"If the evaluation establishes that the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the damaged elements shall be permitted to be restored to their predamage condition."
405.2.3.3,Section 405 Structural,Extent of Repair for Noncompliant Buildings,"If the evaluation does not establish that the building in its predamage condition complies with the provisions of Section 405.2.3.1, then the building shall be retrofitted to comply with the provisions of this section. The wind loads for the repair and retrofit shall be those required by the building code in effect at the time of original construction, unless the damage was caused by wind, in which case the wind loads shall be in accordance with the International Building Code. The seismic loads for this retrofit design shall be those required by the building code in effect at the time of original construction, but not less than the reduced seismic forces."
405.2.4,Section 405 Structural,Substantial Structural Damage to Gravity Load-Carrying Components,"Gravity load-carrying components that have sustained substantial structural damage shall be rehabilitated to comply with the applicable provisions for dead, live and snow loads in the International Building Code.Undamaged gravity load-carrying components that receive dead, live or snow loads from rehabilitated components shall also be rehabilitated if required to comply with the design loads of the rehabilitation design."
405.2.4.1,Section 405 Structural,Lateral Force-Resisting Elements,"Regardless of the level of damage to vertical elements of the lateral force-resisting system, if substantial structural damage to gravity load-carrying components was caused primarily by wind or seismic effects, then the building shall be evaluated in accordance with Section 405.2.3.1 and, if noncompliant, retrofitted in accordance with Section 405.2.3.3.Exceptions: Buildings assigned to Seismic Design Category A, B or C whose substantial structural damage was not caused by earthquake need not be evaluated or retrofitted for load combinations that include earthquake effects.One- and two-family dwellings need not be evaluated or retrofitted for load combinations that include earthquake effects."
405.2.5,Section 405 Structural,Substantial Structural Damage to Snow Load-Carrying Components,"Where substantial structural damage to any snow load-carrying components is caused by or related to snow load effects, any components required to carry snow loads on roof framing of similar construction shall be repaired, replaced or retrofitted to satisfy the requirements of Section 1608 of the International Building Code."
405.2.6,Section 405 Structural,Flood Hazard Areas,"In flood hazard areas, buildings that have sustained substantial damage shall be brought into compliance with Section 1612 of the International Building Code, or Section R322 of the International Residential Code, as applicable."
406,Chapter 4 Repairs,Electrical,
406.1,Section 406 Electrical,Material,Existing electrical wiring and equipment undergoing repair shall be allowed to be repaired or replaced with like material.
406.1.1,Section 406 Electrical,Receptacles,Replacement of electrical receptacles shall comply with the applicable requirements of Section 406.4(D) of NFPA 70.
406.1.2,Section 406 Electrical,Plug Fuses,Plug fuses of the Edison-base type shall be used for replacements only where there is no evidence of over fusing or tampering per applicable requirements of Section 240.51(B) of NFPA 70.
406.1.3,Section 406 Electrical,Nongrounding-Type Receptacles,"For replacement of nongrounding-type receptacles with grounding-type receptacles and for branch circuits that do not have an equipment grounding conductor in the branch circuitry, the grounding conductor of a grounding-type receptacle outlet shall be permitted to be grounded to any accessible point on the grounding electrode system or to any accessible point on the grounding electrode conductor in accordance with Section 250.130(C) of NFPA 70."
406.1.4,Section 406 Electrical,Health Care Facilities,"Portions of electrical systems being repaired in Group I-2, ambulatory care facilities and outpatient clinics shall comply with NFPA 99 requirements for repairs."
406.1.5,Section 406 Electrical,Grounding of Appliances,"Frames of electric ranges, wall-mounted ovens, counter-mounted cooking units, clothes dryers and outlet or junction boxes that are part of the existing branch circuit for these appliances shall be permitted to be grounded to the grounded circuit conductor in accordance with Section 250.140 of NFPA 70."
407,Chapter 4 Repairs,Mechanical,
407.1,Section 407 Mechanical,General,Existing mechanical systems undergoing repair shall not make the building less complying than it was before the damaged occurred.
407.2,Section 407 Mechanical,Mechanical Draft Systems for Manually Fired Appliances and Fireplaces,A mechanical draft system shall be permitted to be used with manually fired appliances and fireplaces where such a system complies with all of the following requirements:The mechanical draft device shall be listed and installed in accordance with the manufacturer's installation instructions.A device shall be installed that produces visible and audible warning upon failure of the mechanical draft device or loss of electrical power at any time that the mechanical draft device is turned on. This device shall be equipped with a battery backup if it receives power from the building wiring.A smoke detector shall be installed in the room with the appliance or fireplace. This device shall be equipped with a battery backup if it receives power from the building wiring.
408,Chapter 4 Repairs,Plumbing,
408.1,Section 408 Plumbing,Materials,Plumbing materials and supplies shall not be used for repairs that are prohibited in the Uniform Plumbing Code.
408.2,Section 408 Plumbing,Water Closet Replacement,The maximum water consumption flow rates and quantities for all replaced water closets shall be 1.6 gallons (6 L) per flushing cycle.Exception: Blowout-design water closets [3.5 gallons (13 L) per flushing cycle].
408.3,Section 408 Plumbing,Health Care Facilities,"Portions of medical gas systems being repaired in Group I-2, ambulatory care facilities and outpatient clinics shall comply with NFPA 99 requirements for repairs."
